OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
LEPIN LE LAC LA BAUCHE-AIME LA PLAGNE;;21.0;31.0;
MONACO MONTE CARLO-LES ARCS DRAGUIGNAN;;22.0;33.0;
LORIENT-REDON;;22.5;33.0;
REDON-VITRE;;23.0;35.0;
BEZIERS-CASTELNAUDARY;;24.0;37.0;
MARSEILLE BLANCARDE-LES ARCS DRAGUIGNAN;;27.0;40.0;
ST BRIEUC-VITRE;;27.0;41.0;
RENNES-AURAY;;28.5;42.0;
LILLE FLANDRES-BOULOGNE VILLE;;32.0;47.0;
BOURG EN BRESSE-THONON LES BAINS;;34.0;48.0;
TOURS-LA ROCHELLE VILLE;;38.0;54.0;
MARSEILLE ST CHARLES-NICE VILLE;;38.0;55.0;
NANCY VILLE-IS SUR TILLE;;40.0;57.0;
ORTHEZ-LIBOURNE;;40.0;57.0;
VALOGNES-EVREUX EMBRANCHEMENT;;41.0;64.0;
LANDRY-MACON LOCHE TGV;15.0;46.0;67.0;
MONTPELLIER-TOULOUSE MATABIAU;15.0;41.0;62.0;
LANDERNEAU-VITRE;;44.0;65.0;
ANGOULEME-MARMANDE;;45.0;65.0;
LIMOGES BENEDICTINS-LES AUBRAIS ORLEANS;15.0;46.0;70.0;
TOUL-CHALON SUR SAONE;15.0;47.0;69.0;
LAVAL-ROSPORDEN;;48.0;70.0;
MACON VILLE-TOUL;20.0;54.0;87.0;
BIARRITZ-RUFFEC CHARENTE;;55.0;82.0;
FUTUROSCOPE-MARMANDE;;58.0;84.0;
AGEN-FUTUROSCOPE;;60.0;85.0;
ANGOULEME-LOURDES;20.0;61.0;87.0;
DAX-FUTUROSCOPE;;61.0;87.0;
DAX-CHATELLERAULT;;63.0;90.0;
PAU-ST PIERRE DES CORPS;25.0;78.0;113.0;
CARCASSONNE-MONTAUBAN VILLE BOURBON;;28.5;43.0;
TOULON-VENTIMIGLIA STAZIONE;;35.0;49.0;
MACON VILLE-ALBERTVILLE;;37.0;52.0;
LYON ST EXUPERY-ALBERTVILLE;;35.0;63.0;
MONTPELLIER-PARIS GARE DE LYON;25.0;114.0;160.0;
AIX EN PROVENCE TGV-MANTES LA JOLIE;25.0;116.0;162.0;
MANTES LA J. TGV-MARSEILLE ST CHARLES;;116.0;162.0;
MARSEILLE ST CHARLES-PARIS NORD;25.0;116.0;162.0;
VERSAILLES CHANTIERS-LYON PART DIEU;25.0;97.0;133.0;
DIJON VILLE-MARNE LA VALLEE CHESSY;15.0;67.0;90.0;
MARNE LA VALLEE CHESSY-BESANCON FRANCHE-COMTE TGV;20.0;83.0;111.0;
LE TEIL-PERPIGNAN;20.0;52.0;78.0;
AVIGNON-TOULOUSE MATABIAU;20.0;53.0;79.0;
STRASBOURG-BESANCON FRANCHE-COMTE TGV;15.0;57.0;75.0;
METZ VILLE-NIMES;20.0;120.0;153.0;
THIONVILLE-BESANCON FRANCHE-COMTE TGV;20.0;68.0;89.0;
MASSY PALAISEAU-ST MALO;20.0;85.0;123.0;
Massy TGV-Les Sables d'Olonne;25.0;85.0;122.0;
paris austerlitz-lamballe;20.0;84.0;122.0;
paris austerlitz-Saint Brieuc;20.0;84.0;122.0;
paris austerlitz-lorient;20.0;91.0;127.0;
paris austerlitz-Le Pouliguen;25.0;87.0;126.0;
paris austerlitz-chatellerault;20.0;75.0;107.0;
LORRAINE TGV-POITIERS;25.0;112.0;149.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ARRAS-AURAY;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-SABLE;15.0;67.0;95.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE CROISIC-PARIS MONTPARNASSE 1 ET 2;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-MARNE LA VALLEE CHESSY;15.0;72.0;104.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BIARRITZ-PARIS MONTPARNASSE 1 ET 2;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
HENDAYE-PARIS MONTPARNASSE 1 ET 2;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-BORDEAUX ST JEAN;;27.0;40.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
VENDOME VILLIERS SUR LOIR-POITIERS;;32.0;46.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-ST MALO;;41.0;60.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-GUINGAMP;;47.0;69.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-LA TESTE;;36.0;50.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ARRAS - REDON;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORIENT - DOUAI;25.0;116.0;153.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - AVIGNON TGV;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - CHATELLERAULT;20.0;78.0;112.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - SABLE;15.0;72.0;102.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
FACTURE BIGANOS - PARIS MONTPARNASSE 1 ET 2;25.0;118.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LYON PART DIEU-VALENCE;;30.0;38.0;
NIMES-MARSEILLE ST CHARLES;;30.0;44.0;
ARLES-LYON ST EXUPERY;;58.0;79.0;
LYON PERRACHE-MIRAMAS;;58.0;79.0;
AVIGNON TGV-MONACO MONTE CARLO;20.0;62.0;88.0;
JUVISY TGV-LILLE EUROPE;15.0;63.0;82.0;
LYON PERRACHE-MARSEILLE ST CHARLES;20.0;67.0;89.0;
BEZIERS-LYON PERRACHE;20.0;70.0;95.0;
MASSY TGV-LORRAINE TGV;20.0;77.0;110.0;
DIJON VILLE-LISIEUX;20.0;86.0;112.0;
LE CREUSOT MONTCEAU MONTCHANIN-ST PIERRE DES CORPS;25.0;89.0;124.0;
RIVES-AEROPORT CDG 2 TGV ROISSY;;96.0;130.0;
NIORT-TGV HAUTE PICARDIE;25.0;106.0;139.0;
LE CROISIC-LILLE EUROPE;25.0;108.0;140.0;
LE MANS-AIX LES BAINS LE REVARD;25.0;113.0;151.0;
LILLE FLANDRES-LYON PERRACHE;25.0;116.0;154.0;
LILLE FLANDRES-LYON ST EXUPERY;25.0;116.0;154.0;
LE HAVRE-AIME LA PLAGNE;25.0;121.0;160.0;
LILLE FLANDRES-GUINGAMP;;119.0;153.0;
MORLAIX-DOUAI;25.0;125.0;161.0;
ANNEMASSE-ARRAS;;127.0;167.0;
SAUMUR-AVIGNON TGV;25.0;133.0;173.0;
GUINGAMP-ANNEMASSE;30.0;137.0;179.0;
AIME LA PLAGNE-ST BRIEUC;30.0;137.0;179.0;
CHAMBERY CHALLES LES EAUX-ST BRIEUC;30.0;137.0;179.0;
ST AVRE LA CHAMBRE-VANNES;;137.0;179.0;
LILLE EUROPE-ST JEAN DE LUZ CIBOURE;30.0;144.0;174.0;
TGV HAUTE PICARDIE-BAYONNE;30.0;144.0;174.0;
BIARRITZ-DOUAI;30.0;144.0;174.0;
MONTPELLIER-ARRAS;30.0;144.0;184.0;
MORLAIX-BOURG ST MAURICE;30.0;147.0;190.0;
QUIMPER-ALBERTVILLE;30.0;147.0;190.0;
LILLE EUROPE-AGDE;30.0;150.0;188.0;
ARRAS-AGDE;30.0;150.0;188.0;
PARIS NORD-CALAIS FRETHUN;15.0;66.0;86.0;
BELFORT-PARIS GARE DE LYON;25.0;88.0;119.0;
LILLE EUROPE-MARNE LA VALLEE CHESSY;15.0;63.0;82.0;
MULHOUSE VILLE-MONTBARD;20.0;72.0;91.0;
BESANCON VIOTTE-STRASBOURG;15.0;58.0;76.0;
DIJON VILLE-MARSEILLE ST CHARLES;20.0;91.0;122.0;
ANTIBES-CHALON SUR SAONE;25.0;116.0;151.0;
AVIGNON TGV-LONS LE SAUNIER;20.0;75.0;96.0;
VALENCE TGV-BOURG EN BRESSE;;43.0;53.0;
NANCY VILLE-POITIERS;25.0;112.0;149.0;
LOURDES-PARIS AUSTERLITZ;25.0;118.0;156.0;
MANTES LA JOLIE-VALENCE TGV;25.0;107.0;147.0;
PARIS GARE DE LYON-NARBONNE;25.0;116.0;162.0;
AEROPORT CDG 2 TGV ROISSY-TOULOUSE MATABIAU;25.0;116.0;162.0;
PERPIGNAN-PARIS NORD;25.0;124.0;175.0;
MARNE LA VALLEE CHESSY-NICE VILLE;25.0;132.0;185.0;
MARNE LA VALLEE CHESSY-ALBERTVILLE;25.0;115.0;154.0;
PARIS GARE DE LYON-SALLANCHES COMBLOUX MEGEVE;25.0;119.0;163.0;
TOURS-LYON PART DIEU;25.0;95.0;132.0;
LE MANS-LYON ST EXUPERY;25.0;95.0;132.0;
BASEL SBB-BESANCON FRANCHE-COMTE TGV;15.0;42.0;57.0;
LILLE FLANDRES-VENDOME VILLIERS SUR LOIR;25.0;101.0;134.0;
AIX EN PROVENCE TGV-PERPIGNAN;15.0;51.0;66.0;
LYON ST EXUPERY-BESANCON FRANCHE-COMTE TGV;15.0;51.0;68.0;
STRASBOURG-AIME LA PLAGNE;25.0;117.0;146.0;
AVIGNON-NANCY VILLE;;107.0;141.0;
AVIGNON-LE HAVRE;;129.0;177.0;
AVIGNON-TOUL;;107.0;141.0;
LANDRY-LANDRY-LAVAL;25.0;120.0;162.0;
LAVAL-AIME LA PLAGNE-LAVAL;25.0;120.0;162.0;
MENTON-VENTIMIGLIA STAZIONE  (IT);;2.2;4.3;
LE CROISIC-LA BAULE ESCOUBLAC;;3.6;6.6;
IRUN-ST JEAN DE LUZ CIBOURE;;4.8;8.3;
TOULON-HYERES;;6.3;9.6;
MASSY TGV - ST JEAN DE LUZ CIBOURE;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - FACTURE BIGANOS;;37.0;53.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PAU - CHATELLERAULT;;70.0;102.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - LA TESTE;;39.0;54.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - QUIMPER;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AVIGNON TGV-NIMES;;15.5;21.0;
CONFLANS FDO TGV-AEROPORT CDG 2 TGV ROISSY;;35.0;47.0;
JUVISY-AEROPORT CDG 2 TGV ROISSY;;35.0;47.0;
LYON PART DIEU-MONTELIMAR;;35.0;47.0;
TOULON-VALENCE TGV;20.0;57.0;82.0;
NIMES-MACON LOCHE TGV;20.0;62.0;93.0;
PARIS AUSTERLITZ-POITIERS;20.0;75.0;107.0;
LYON PART DIEU-NARBONNE;20.0;74.0;101.0;
MACON VILLE-LES ARCS DRAGUIGNAN;25.0;81.0;109.0;
LYON PART DIEU-NICE VILLE;25.0;86.0;121.0;
MACON LOCHE TGV-NICE VILLE;25.0;95.0;134.0;
MACON LOCHE TGV-ANTIBES;25.0;95.0;134.0;
NIMES-MONTBELIARD;25.0;91.0;124.0;
NANTES-LE CREUSOT MONTCEAU MONTCHANIN;25.0;107.0;140.0;
TOURS-VALENCE TGV;25.0;113.0;148.0;
CHAMBERY CHALLES LES EAUX-ST PIERRE DES CORPS;;114.0;151.0;
ANGERS ST LAUD-VALENCE;25.0;116.0;151.0;
ST JEAN DE MAURIENNE ARVAN-TGV HAUTE PICARDIE;25.0;119.0;156.0;
LA ROCHE SUR FORON-TGV HAUTE PICARDIE;25.0;119.0;156.0;
ANGERS ST LAUD-ALBERTVILLE;25.0;120.0;161.0;
CARENTAN-ALBERTVILLE;25.0;125.0;165.0;
EVREUX EMBRANCHEMENT-BOURG ST MAURICE;25.0;125.0;165.0;
GRENOBLE-NANTES;25.0;125.0;165.0;
CLUSES  74-ARRAS;;127.0;167.0;
LILLE FLANDRES-ST GERVAIS LES BAINS LE FAYET;25.0;127.0;167.0;
ANNEMASSE-RENNES;25.0;132.0;170.0;
LORIENT-MOUTIERS SALINS BRIDES;30.0;137.0;179.0;
MODANE-VANNES;;137.0;179.0;
VANNES-ST GERVAIS LES BAINS LE FAYET;30.0;137.0;179.0;
ST AVRE LA CHAMBRE-LORIENT;;137.0;179.0;
BOURG ST MAURICE-AURAY;30.0;137.0;179.0;
ST JEAN DE MAURIENNE ARVAN-LORIENT;;137.0;179.0;
LORIENT-ANNEMASSE;30.0;137.0;179.0;
LILLE EUROPE-MONTAUBAN VILLE BOURBON;30.0;144.0;174.0;
BREST-ST MICHEL VALLOIRE;30.0;147.0;190.0;
BREST-ANNEMASSE;30.0;147.0;190.0;
LANDRY-MORLAIX;30.0;147.0;190.0;
LILLE EUROPE-NARBONNE;30.0;150.0;188.0;
LILLE EUROPE-TOULOUSE MATABIAU;30.0;150.0;188.0;
LILLE FLANDRES-NICE VILLE;30.0;155.0;196.0;
AVIGNON-LYON PERRACHE;15.0;51.0;68.0;
CHAMBERY CHALLES LES EAUX-PARIS NORD;25.0;103.0;136.0;
COLMAR-BESANCON FRANCHE-COMTE TGV;15.0;46.0;61.0;
MACON VILLE-BELFORT-MONTBELIARD TGV;15.0;55.0;72.0;
MACON VILLE-NICE VILLE;25.0;107.0;140.0;
MOUCHARD-AEROPORT CDG 2 TGV ROISSY;20.0;82.0;109.0;
MULHOUSE VILLE-LYON PERRACHE;20.0;78.0;100.0;
LAMBALLE-MARNE LA VALLEE CHESSY;20.0;84.0;122.0;
MORCENX-PARIS MONTPARNASSE 1 ET 2;25.0;110.0;143.0;
PARIS AUSTERLITZ-TARBES;25.0;118.0;156.0;
MARNE LA VALLEE CHESSY-SETE;25.0;116.0;162.0;
MARNE LA VALLEE CHESSY-NARBONNE;25.0;116.0;162.0;
PARIS GARE DE LYON-ST RAPHAEL VALESCURE;25.0;132.0;185.0;
ST JEAN DE MAURIENNE ARVAN-AEROPORT CDG 2 TGV ROISSY;25.0;111.0;149.0;
MODANE-MARNE LA VALLEE CHESSY;25.0;113.0;154.0;
PARIS NORD-ST MICHEL VALLOIRE;25.0;113.0;154.0;
MARNE LA VALLEE CHESSY-BELLEGARDE;25.0;91.0;129.0;
CLUSES  74-MARNE LA VALLEE CHESSY;25.0;119.0;163.0;
MACON LOCHE TGV-PARIS GARE DE LYON;20.0;83.0;120.0;
DOLE VILLE-PARIS GARE DE LYON;20.0;79.0;105.0;
DOLE VILLE-MARNE LA VALLEE CHESSY;20.0;79.0;105.0;
MIRAMAS-MACON LOCHE TGV;20.0;64.0;91.0;
NIMES-ECOLE VALENTIN;;105.0;134.0;
STRASBOURG-AVIGNON;;114.0;149.0;
AVIGNON-NEUFCHATEAU;;87.0;116.0;
VALENCE TGV-MONTAUBAN VILLE BOURBON;15.0;83.0;110.0;
LANDRY-BOURG ST MAURICE;;3.2;6.3;
LA ROCHE SUR FORON-ANNEMASSE;;5.7;9.0;
COLMAR-SELESTAT;;6.0;9.1;
DOL-ST MALO;;7.2;10.7;
SARREBOURG-SAVERNE;;7.6;11.0;
SURGERES-LA ROCHELLE VILLE;;9.3;13.7;
BERNAY-LISIEUX;;9.3;19.0;
HENDAYE-BAYONNE;;10.0;14.6;
LES SABLES D'OLONNE-LA ROCHE SUR YON;;10.6;14.2;
NANTES-SAVENAY;;10.6;15.5;
LAROCHE MIGENNES-SENS;;11.0;16.5;
ANTIBES-MENTON;;11.0;16.5;
ANGOULEME-RUFFEC CHARENTE;;11.9;17.5;
BAYEUX-CARENTAN;;12.6;25.0;
ST ETIENNE CHATEAUCREUX-LYON ST EXUPERY;;13.7;20.0;
LA ROCHELLE VILLE-NIORT;;14.8;22.0;
STRASBOURG-COLMAR;;15.0;23.5;
AVIGNON SUD-MONTELIMAR;;17.5;24.0;
RENNES-ST MALO;;17.5;24.5;
DIJON VILLE-MOUCHARD;;17.5;24.5;
FORBACH-LORRAINE TGV;;17.5;30.0;
LES AUBRAIS ORLEANS-VIERZON VILLE;;18.5;26.5;
IRUN-DAX;;19.5;27.5;
MONTPELLIER-NARBONNE;;20.0;30.0;
MACON VILLE-BEAUNE;;20.5;30.0;
PERPIGNAN-AGDE;;23.0;34.0;
LES AUBRAIS ORLEANS-ST PIERRE DES CORPS;;23.5;35.0;
LEPIN LE LAC LA BAUCHE-CLUSES  74;;24.0;36.0;
STRASBOURG-LUNEVILLE;;24.0;37.0;
ST MALO-VITRE;;24.5;37.0;
CHAMBERY CHALLES LES EAUX-SALLANCHES COMBLOUX MEGEVE;;26.5;39.0;
BREST-ST BRIEUC;;28.5;42.0;
NARBONNE-TOULOUSE MATABIAU;;28.5;43.0;
BOURG ST MAURICE-BOURG EN BRESSE;;30.0;39.0;
ARLES-VALENCE;;31.0;44.0;
AURAY-VITRE;;34.0;48.0;
GRENOBLE-MACON VILLE;;36.0;51.0;
NEUFCHATEAU-CHALON SUR SAONE;;38.0;62.0;
LYON PART DIEU-EVIAN LES BAINS;;40.0;57.0;
HENDAYE-BORDEAUX ST JEAN;;40.0;58.0;
LIBOURNE-MONTAUBAN VILLE BOURBON;15.0;41.0;60.0;
MODANE-LYON PART DIEU;;45.0;66.0;
IRUN-LIBOURNE;;45.0;66.0;
LE TEIL-HYERES;15.0;47.0;68.0;
LOURDES-LIBOURNE;15.0;49.0;73.0;
VILLENEUVE LES AVIGNONS-CANNES;20.0;50.0;74.0;
JUVISY-LA SOUTERRAINE;20.0;52.0;80.0;
FUTUROSCOPE-BAYONNE;;66.0;95.0;
RUFFEC CHARENTE-TOULOUSE MATABIAU;25.0;72.0;103.0;
LOURDES-POITIERS;25.0;73.0;105.0;
AVIGNON TGV-ORANGE;;8.5;12.6;
BOURG EN BRESSE-ST MICHEL VALLOIRE;;38.0;53.0;
ST AVRE LA CHAMBRE-BOURG EN BRESSE;;38.0;53.0;
LYON ST EXUPERY-BOURG ST MAURICE;;44.0;66.0;
TOULON-AIX LES BAINS LE REVARD;25.0;85.0;121.0;
ANNECY-ANTIBES;25.0;106.0;160.0;
MASSY TGV-NIMES;25.0;114.0;160.0;
AVIGNON TGV-PARIS GARE DE LYON;25.0;116.0;162.0;
LYON ST EXUPERY-AEROPORT CDG 2 TGV ROISSY;25.0;97.0;133.0;
AEROPORT CDG 2 TGV ROISSY-ECOLE VALENTIN;;83.0;111.0;
CARCASSONNE-MARSEILLE ST CHARLES;15.0;58.0;75.0;
PERPIGNAN-MONTELIMAR;20.0;50.0;76.0;
STRASBOURG-MARNE LA VALLEE CHESSY;25.0;107.0;143.0;
STRASBOURG-AIX EN PROVENCE TGV;20.0;124.0;161.0;
METZ VILLE-AIX EN PROVENCE TGV;25.0;124.0;161.0;
THIONVILLE-DIJON VILLE;25.0;72.0;93.0;
Toul-Les Arcs Draguignan;25.0;123.0;159.0;
GRENOBLE-VERSAILLES CHANTIERS;25.0;108.0;145.0;
SAINT MICHEL VALLOIRE-VERSAILLES CHANTIERS;25.0;113.0;154.0;
BELLEGARDE-MASSY PALAISEAU;25.0;91.0;129.0;
MONTAUBAN VILLE BOURBON-SETE;15.0;45.0;65.0;
paris austerlitz-Le croisic;25.0;87.0;126.0;
LAVAL-LILLE FLANDRES;25.0;97.0;124.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-AURAY;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-ROSPORDEN;25.0;125.0;161.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-ARRAS;25.0;130.0;171.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-ST BRIEUC;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-REDON;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-SAVENAY;25.0;86.0;125.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-RENNES;20.0;80.0;113.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FACTURE BIGANOS-PARIS MONTPARNASSE 1 ET 2;25.0;102.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-VITRE;;25.0;38.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-ST MALO;;31.0;44.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-ST BRIEUC;;44.0;64.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-VENDOME VILLIERS SUR LOIR;;47.0;69.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FUTUROSCOPE-ARCACHON;;49.0;73.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PLOUARET TREGOR-PARIS MONTPARNASSE 1 ET 2;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BREST-AEROPORT CDG 2 TGV ROISSY;20.0;92.0;131.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-ROSPORDEN;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MEUSE TGV - FUTUROSCOPE;25.0;106.0;138.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI - ST MALO;25.0;116.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORRAINE TGV - NANTES;25.0;121.0;159.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - ARRAS;25.0;134.0;177.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - ST MAIXENT DEUX SEVRES;20.0;90.0;126.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
IRUN - PARIS MONTPARNASSE 1 ET 2;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - LYON PERRACHE;25.0;99.0;135.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
VENDOME VILLIERS SUR LOIR - CHATELLERAULT;;27.5;41.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - LAMBALLE;;33.0;47.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - VANNES;;38.0;54.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - LORIENT;;44.0;65.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN - CHATELLERAULT;;60.0;85.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
STRASBOURG - FUTUROSCOPE;30.0;146.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LANNION - PARIS MONTPARNASSE 1 ET 2;20.0;99.0;138.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - AURAY;25.0;122.0;161.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
NIMES-LILLE EUROPE;30.0;144.0;184.0;
MOUTIERS SALINS BRIDES-QUIMPER;30.0;147.0;190.0;
LANDRY-QUIMPER;30.0;147.0;190.0;
TGV HAUTE PICARDIE-AGDE;30.0;150.0;188.0;
TGV HAUTE PICARDIE-SETE;30.0;150.0;188.0;
PARIS GARE DE LYON-TOULON;25.0;121.0;166.0;
PARIS GARE DE LYON-MONTBELIARD;25.0;88.0;119.0;
LIMOGES BENEDICTINS-AEROPORT CDG 2 TGV ROISSY;25.0;88.0;111.0;
CHATEAUROUX-AEROPORT CDG 2 TGV ROISSY;20.0;69.0;86.0;
CHAMBERY CHALLES LES EAUX-MASSY TGV;25.0;103.0;136.0;
MASSY TGV-AIX LES BAINS LE REVARD;25.0;103.0;136.0;
AEROPORT CDG 2 TGV ROISSY-AIX LES BAINS LE REVARD;25.0;103.0;136.0;
NICE VILLE-CHALON SUR SAONE;25.0;116.0;151.0;
BELFORT-MONTBELIARD TGV-LONS LE SAUNIER;15.0;42.0;53.0;
MARSEILLE ST CHARLES-LONS LE SAUNIER;25.0;89.0;119.0;
BESANCON VIOTTE-LILLE EUROPE;20.0;120.0;155.0;
ANGERS ST LAUD-NANCY VILLE;25.0;112.0;148.0;
LE MANS-PARIS MONTPARNASSE 1 ET 2;15.0;60.0;81.0;
LE MANS-MASSY TGV;15.0;60.0;81.0;
AEROPORT CDG 2 TGV ROISSY-ALBERTVILLE;25.0;115.0;154.0;
PARIS NORD-ALBERTVILLE;25.0;115.0;154.0;
MARNE LA VALLEE CHESSY-BOURG ST MAURICE;25.0;118.0;161.0;
ST JEAN DE MAURIENNE ARVAN-MARNE LA VALLEE CHESSY;25.0;111.0;149.0;
MARNE LA VALLEE CHESSY-ST MICHEL VALLOIRE;25.0;113.0;154.0;
MARNE LA VALLEE CHESSY-ANNECY;25.0;104.0;140.0;
MASSY TGV-ANNEMASSE;25.0;108.0;152.0;
MASSY PALAISEAU-VALENCE;25.0;103.0;143.0;
LE TEIL-PARIS GARE DE LYON;25.0;105.0;144.0;
PARIS EST-ST DIE;25.0;86.0;125.0;
MEUSE-LUNEVILLE;;33.0;46.0;
LYON ST EXUPERY-POITIERS;25.0;96.0;135.0;
MACON LOCHE TGV-ORANGE;15.0;51.0;67.0;
MEUSE-REMIREMONT;;46.0;68.0;
AVIGNON TGV-VENTIMIGLIA STAZIONE;20.0;65.0;89.0;
POITIERS-SAVERNE;30.0;137.0;182.0;
ANGOULEME-SAVERNE;30.0;146.0;193.0;
VENDOME VILLIERS SUR LOIR-LYON ST EXUPERY;25.0;95.0;132.0;
LYON ST EXUPERY-BELFORT-MONTBELIARD TGV;15.0;67.0;85.0;
BOURG ST MAURICE-BESANCON FRANCHE-COMTE TGV;20.0;78.0;97.0;
AVIGNON-RENNES;;142.0;180.0;
AVIGNON-BELFORT-MONTBELIARD TGV;;108.0;142.0;
BESANCON VIOTTE-AVIGNON;;91.0;120.0;
AVIGNON-LONS LE SAUNIER;;75.0;96.0;
CAGNES SUR MER-NICE VILLE;;3.9;7.8;
QUIMPERLE-LORIENT;;6.3;9.5;
BOULOGNE VILLE-ETAPLES LE TOUQUET;;8.0;11.9;
BORDEAUX ST JEAN-LIBOURNE;;10.2;14.7;
STRASBOURG-SELESTAT;;10.7;17.0;
CLUSES  74-ANNEMASSE;;11.0;16.0;
LUNEVILLE-SARREBOURG;;11.4;17.5;
GROISY THORENS LA CAILLE-CLUSES  74;;11.9;17.5;
BORDEAUX ST JEAN-LA TESTE;;13.2;19.5;
TOURS-BLOIS;;13.5;19.5;
ST ETIENNE CHATEAUCREUX-LYON PART DIEU;;13.7;20.0;
LYON PERRACHE-MACON LOCHE TGV;;18.5;26.0;
NIMES-AGDE;;20.5;31.0;
CLUSES  74-AIX LES BAINS LE REVARD;;21.5;32.0;
LILLE FLANDRES-TGV HAUTE PICARDIE;;22.5;33.0;
MOUTIERS SALINS BRIDES-AIX LES BAINS LE REVARD;;24.0;36.0;
AVIGNON-MARSEILLE BLANCARDE;;24.5;37.0;
CHAMBERY CHALLES LES EAUX-AIME LA PLAGNE;;25.0;38.0;
BESANCON VIOTTE-BOURG EN BRESSE;;26.5;41.0;
LANDRY-BOURG EN BRESSE;;28.5;38.0;
LANDRY-AIX LES BAINS LE REVARD;;30.0;43.0;
FACTURE BIGANOS-BAYONNE;;31.0;44.0;
LYON ST EXUPERY-ANNEMASSE;;33.0;47.0;
CARCASSONNE-NIMES;;36.0;53.0;
SABLE-LA ROCHE SUR YON;;38.0;53.0;
BOURG EN BRESSE-SALLANCHES COMBLOUX MEGEVE;;38.0;53.0;
