OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
NANTES-ARRAS;25.0;108.0;137.0;
ANTIBES-BEAUNE;25.0;116.0;151.0;
LE CROISIC-LYON PART DIEU;25.0;113.0;150.0;
LILLE FLANDRES-NIORT;25.0;118.0;149.0;
ANGERS ST LAUD-ANNECY;25.0;120.0;161.0;
GUINGAMP-LYON PERRACHE;25.0;122.0;156.0;
GRENOBLE-LA BAULE ESCOUBLAC;25.0;125.0;165.0;
PORNICHET-GRENOBLE;25.0;125.0;165.0;
BOURG ST MAURICE-DOUAI;25.0;127.0;167.0;
ALBERTVILLE-DOUAI;25.0;127.0;167.0;
MODANE-DOUAI;;127.0;167.0;
LANDRY-DOUAI;25.0;127.0;167.0;
LILLE FLANDRES-ST AVRE LA CHAMBRE;;127.0;167.0;
ST AVRE LA CHAMBRE-DOUAI;;127.0;167.0;
LILLE FLANDRES-ANNEMASSE;25.0;127.0;167.0;
GUINGAMP-LA ROCHE SUR FORON;30.0;137.0;179.0;
MOUTIERS SALINS BRIDES-ST BRIEUC;30.0;137.0;179.0;
LORIENT-ST MICHEL VALLOIRE;;137.0;179.0;
LANDRY-AURAY;30.0;137.0;179.0;
BOURG ST MAURICE-REDON;30.0;137.0;179.0;
CHAMBERY CHALLES LES EAUX-LORIENT;30.0;137.0;179.0;
MOUTIERS SALINS BRIDES-REDON;30.0;137.0;179.0;
ANNECY-REDON;30.0;137.0;179.0;
DAX - MASSY TGV;25.0;122.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
FUTUROSCOPE - ARCACHON;;51.0;76.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - AURAY;20.0;100.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - LANDERNEAU;20.0;100.0;142.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - ROSPORDEN;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - QUIMPER;25.0;131.0;169.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
IRUN-BIARRITZ;;8.3;12.6;
MORLAIX-PLOUARET TREGOR;;9.1;13.7;
BAYEUX-CAEN;;9.1;18.5;
IRUN-BAYONNE;;10.6;15.0;
PAU-LOURDES;;10.6;15.5;
QUIMPERLE-QUIMPER;;11.9;17.5;
ST MAIXENT DEUX SEVRES-POITIERS;;13.2;19.5;
BOURG EN BRESSE-LONS LE SAUNIER;;13.5;20.5;
QUIMPERLE-VANNES;;16.0;23.0;
ROSPORDEN-AURAY;;17.5;24.0;
ARLES-MARSEILLE BLANCARDE;;18.0;26.0;
NANCY VILLE-SARREBOURG;;18.5;27.0;
ANGERS ST LAUD-NANTES;;19.5;27.5;
ROSPORDEN-VANNES;;21.0;31.0;
AIX EN PROVENCE TGV-HYERES;;21.5;31.0;
BELLEGARDE-ST GERVAIS LES BAINS LE FAYET;;21.5;32.0;
LEPIN LE LAC LA BAUCHE-ST GERVAIS LES BAINS LE FAYET;;24.0;36.0;
LYON PERRACHE-ANNECY;;24.5;37.0;
RUFFEC CHARENTE-LIBOURNE;;28.5;42.0;
ANCENIS-LES SABLES D'OLONNE;;28.5;42.0;
ARLES-ST PERAY;;31.0;44.0;
LYON ST EXUPERY-LE CREUSOT MONTCEAU MONTCHANIN;;33.0;47.0;
LE TEIL-MONTPELLIER;;34.0;48.0;
BORDEAUX ST JEAN-MONTAUBAN VILLE BOURBON;;36.0;53.0;
LYON PART DIEU-AIME LA PLAGNE;;44.0;64.0;
AGEN-NARBONNE;15.0;44.0;66.0;
MACON LOCHE TGV-NEUFCHATEAU;15.0;45.0;67.0;
LYON PART DIEU-MONTBELIARD;15.0;46.0;68.0;
LIMOGES BENEDICTINS-JUVISY;20.0;62.0;90.0;
POITIERS-BAYONNE;;65.0;93.0;
FUTUROSCOPE-MONTAUBAN VILLE BOURBON;20.0;67.0;97.0;
BRIVE LA GAILLARDE-JUVISY TGV;25.0;72.0;107.0;
CHATELLERAULT-TARBES;;73.0;105.0;
AIX LES BAINS LE REVARD-ANTIBES;25.0;105.0;163.0;
MONTPELLIER-MONTAUBAN VILLE BOURBON;15.0;47.0;72.0;
MONACO MONTE CARLO-VENTIMIGLIA STAZIONE;;3.9;7.7;
ST RAPHAEL VALESCURE-VENTIMIGLIA STAZIONE;;20.0;28.5;
BAYEUX-VERSAILLES CHANTIERS;15.0;44.0;64.0;
GENEVE-AVIGNON;20.0;66.0;97.0;
FORBACH-PARIS EST;25.0;74.0;124.0;
ANNECY-NICE VILLE;25.0;108.0;160.0;
AVIGNON-ANNECY;;77.0;106.0;
AVIGNON-MANTES LA JOLIE;25.0;116.0;162.0;
GRENOBLE-PARIS GARE DE LYON;25.0;108.0;145.0;
COLMAR-AVIGNON TGV;20.0;114.0;149.0;
STRASBOURG-LYON PART DIEU;20.0;87.0;111.0;
PARIS EST-SARREBOURG;25.0;85.0;124.0;
THIONVILLE-Colmar;;47.0;64.0;
Thionville-CHALON SUR SAONE;25.0;83.0;115.0;
paris austerlitz-Nantes;20.0;85.0;122.0;
LORRAINE TGV-NANTES;25.0;121.0;158.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARSEILLE ST CHARLES-ST PIERRE DES CORPS;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-MASSY TGV;20.0;96.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-FUTUROSCOPE;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LA ROCHELLE VILLE-PARIS MONTPARNASSE 1 ET 2;25.0;89.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-VANNES;20.0;88.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-LYON PART DIEU;25.0;96.0;135.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
TOURS-ANGOULEME;;38.0;53.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FACTURE BIGANOS-POITIERS;;47.0;68.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
STRASBOURG-RENNES;30.0;146.0;189.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-ROSPORDEN;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-QUIMPER;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE FLANDRES - ST MALO;25.0;116.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - ARRAS;25.0;120.0;156.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
RENNES - VALENCE TGV;25.0;139.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARSEILLE ST CHARLES - RENNES;30.0;148.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
NIORT - PARIS MONTPARNASSE 1 ET 2;20.0;90.0;126.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE POULIGUEN - AEROPORT CDG2 TGV ROISSY;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
JUVISY-MARNE LA VALLEE CHESSY;;35.0;47.0;
AVIGNON TGV-ST RAPHAEL VALESCURE;15.0;53.0;77.0;
BEZIERS-VALENCE;15.0;54.0;78.0;
MELUN-LE CREUSOT MONTCEAU MONTCHANIN;;67.0;84.0;
CARCASSONNE-VALENCE;20.0;65.0;95.0;
PARIS MONTPARNASSE 3 VAUGIRARD-FUTUROSCOPE;;75.0;107.0;
LYON PERRACHE-SETE;20.0;70.0;93.0;
LYON PART DIEU-AGDE;20.0;70.0;95.0;
LORRAINE TGV-PARIS EST;20.0;77.0;110.0;
AIX EN PROVENCE TGV-TOULOUSE MATABIAU;20.0;69.0;100.0;
LE POULIGUEN-LE CREUSOT MONTCEAU MONTCHANIN;;107.0;140.0;
ST NAZAIRE-LE CREUSOT MONTCEAU MONTCHANIN;25.0;107.0;140.0;
FUTUROSCOPE-DOUAI;25.0;109.0;143.0;
ARRAS-ST NAZAIRE;25.0;108.0;140.0;
LE MANS-GRENOBLE;25.0;111.0;154.0;
CHAMPAGNE ARDENNE-LIBOURNE;25.0;112.0;149.0;
PORNICHET-LYON PERRACHE;25.0;113.0;150.0;
DOLE VILLE-LILLE FLANDRES;25.0;113.0;139.0;
LYON ST EXUPERY-ARRAS;25.0;116.0;154.0;
DUNKERQUE-LYON ST EXUPERY;25.0;116.0;154.0;
LILLE EUROPE-NIORT;25.0;118.0;149.0;
AIME LA PLAGNE-TGV HAUTE PICARDIE;25.0;119.0;156.0;
ST AVRE LA CHAMBRE-TGV HAUTE PICARDIE;25.0;119.0;156.0;
CHAMBERY CHALLES LES EAUX-RENNES;25.0;127.0;166.0;
BREST-LE CREUSOT MONTCEAU MONTCHANIN;25.0;129.0;166.0;
LILLE FLANDRES-ST MICHEL VALLOIRE;;127.0;167.0;
DUNKERQUE-ST JEAN DE MAURIENNE ARVAN;25.0;127.0;167.0;
LE HAVRE-AIX EN PROVENCE TGV;25.0;129.0;177.0;
AVIGNON-TGV HAUTE PICARDIE;30.0;136.0;174.0;
MODANE-AURAY;;137.0;179.0;
