service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1995,1,1,1,1,1,1,0,20210104,20210116
1996,1,1,1,1,1,1,0,20210118,20210306
2970,0,0,0,0,0,0,1,20201228,20210117
6185,0,0,0,0,0,0,1,20210124,20210228
4032,1,1,1,1,1,1,1,20210118,20210306
6206,1,1,1,1,1,1,1,20210104,20210117
6707,0,0,0,0,1,0,1,20210122,20210205
6696,0,0,0,0,0,0,1,20210207,20210305
4464,0,0,0,0,1,0,0,20210212,20210219
6176,0,0,0,0,1,0,1,20201228,20210117
6186,0,0,0,0,0,0,1,20201228,20210117
6233,1,1,1,1,1,1,0,20210104,20210116
1224,1,1,1,1,1,0,0,20210208,20210305
8597,1,0,0,0,0,0,0,20201214,20210301
6210,1,1,1,1,1,0,0,20201214,20210205
8598,1,1,1,1,0,0,0,20201221,20201231
2358,0,0,0,0,0,1,0,20201219,20210206
1856,0,0,0,0,0,1,0,20210213,20210306
5025,1,0,0,0,0,1,0,20201207,20201212
3614,0,0,0,0,1,1,0,20210212,20210227
6226,0,1,1,1,0,0,1,20201213,20210304
4636,0,0,0,0,1,0,1,20210212,20210305
2136,1,1,1,1,1,0,1,20201213,20210305
1486,0,1,1,1,0,0,0,20201208,20201210
4153,1,1,1,1,1,1,1,20201213,20210306
3347,0,1,1,1,1,1,1,20201213,20210306
3348,0,1,1,1,1,1,0,20201208,20201212
6371,1,1,0,1,0,0,0,20201214,20210304
4637,0,0,0,0,1,0,1,20201213,20210207
897,1,1,1,1,0,0,0,20201214,20210304
5466,0,0,0,0,1,0,1,20201213,20210305
6459,0,0,0,1,1,0,0,20201210,20201211
1999,1,1,1,1,1,1,1,20201213,20210103
6477,0,0,0,0,0,0,1,20201213,20210228
2132,0,0,0,0,1,1,0,20201218,20210306
4476,1,1,1,1,1,0,0,20210215,20210301
4103,0,0,0,0,0,0,1,20201213,20210103
3257,1,0,0,0,0,0,0,20201214,20210301
3043,0,0,0,1,1,0,0,20201210,20201211
4675,0,0,1,1,1,0,1,20210215,20210228
4674,0,0,1,1,1,1,0,20201209,20201212
4366,0,1,0,0,1,0,0,20201215,20210103
6360,1,1,0,0,0,1,0,20201214,20210306
6611,0,0,0,0,1,0,1,20201213,20210305
4890,0,0,0,0,0,0,1,20210104,20210214
8615,1,1,1,1,1,1,1,20201213,20210305
2212,1,1,1,1,0,0,0,20201214,20210105
1883,1,1,1,1,1,1,0,20201207,20201212
5301,1,1,1,1,1,1,1,20201214,20210306
5120,0,0,0,0,0,1,1,20201219,20210103
8628,1,1,1,1,1,1,1,20201214,20210306
8632,1,1,1,0,1,0,0,20210125,20210129
7279,0,0,0,1,0,0,0,20210114,20210204
5373,0,0,0,0,0,1,0,20210222,20210306
8637,0,0,0,0,0,1,0,20201225,20210306
8638,1,0,0,0,1,0,1,20201221,20210305
5302,0,0,0,0,0,1,1,20201219,20210103
6087,1,1,1,0,0,0,1,20201213,20210104
2646,0,0,0,0,0,1,0,20210213,20210227
1688,1,1,1,1,1,1,0,20201207,20201212
6002,1,1,1,1,1,1,0,20201207,20201212
3648,1,1,1,1,1,0,0,20201207,20201211
225,1,0,0,0,0,0,0,20201214,20210301
8812,1,1,1,1,1,1,0,20201207,20201212
8813,0,0,0,0,1,1,0,20201211,20201212
8814,1,1,1,1,0,0,0,20201207,20201210
4230,1,1,1,1,1,1,0,20201207,20201212
8815,0,0,0,0,1,1,0,20201211,20201212
8816,1,1,1,1,0,0,0,20201207,20201210
6500,0,1,1,1,1,1,0,20201208,20201212
8817,1,1,1,1,1,1,0,20201207,20201212
6340,1,0,0,0,1,1,1,20210208,20210228
236,1,1,1,1,1,1,1,20201213,20210306
4209,1,1,1,1,1,0,1,20201213,20210305
3962,1,0,0,0,0,0,0,20201214,20210110
