trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008917F1401412606,14:12:00,14:12:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
OCESN008917F1501512608,10:39:00,10:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008917F1501512608,11:34:00,11:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008917F1501512608,12:13:00,12:16:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008917F1501512608,12:54:00,12:58:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008917F1501512608,13:35:00,13:38:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008917F1501512608,13:48:00,13:50:00,StopPoint:OCETGV INOUI-87481747,5,"",0,0,
OCESN008917F1501512608,13:55:00,13:59:00,StopPoint:OCETGV INOUI-87481754,6,"",0,0,
OCESN008917F1501512608,14:03:00,14:05:00,StopPoint:OCETGV INOUI-87481762,7,"",0,0,
OCESN008917F1501512608,14:12:00,14:12:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
OCESN008935F1601612654,19:48:00,19:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008935F1601612654,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008935F1601612654,21:46:00,21:48:00,StopPoint:OCETGV INOUI-87481192,2,"",0,0,
OCESN008935F1601612654,22:06:00,22:10:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008935F1601612654,22:46:00,22:49:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008935F1601612654,22:59:00,23:02:00,StopPoint:OCETGV INOUI-87481747,5,"",0,0,
OCESN008935F1601612654,23:06:00,23:10:00,StopPoint:OCETGV INOUI-87481754,6,"",0,0,
OCESN008935F1601612654,23:13:00,23:16:00,StopPoint:OCETGV INOUI-87481762,7,"",0,0,
OCESN008935F1601612654,23:22:00,23:22:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
OCESN008931F1901912641,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F1901912641,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F1901912641,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F1901912641,20:50:00,20:50:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F4104112644,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F4104112644,19:47:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F4104112644,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F4104112644,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F4104112644,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F4104112644,21:45:00,21:49:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F4104112644,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008931F2802812646,18:42:00,18:42:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F2802812646,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F2802812646,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F2802812646,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F2802812646,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F2802812646,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F2802812646,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008921F27027~TGA91146,12:44:00,12:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008921F27027~TGA91146,14:05:00,14:12:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008921F27027~TGA91146,14:50:00,14:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008921F27027~TGA91146,15:31:00,15:34:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008921F27027~TGA91146,15:48:00,15:52:00,StopPoint:OCETGV-87481754,4,"",0,0,
OCESN008921F27027~TGA91146,16:01:00,16:01:00,StopPoint:OCETGV-87481788,5,"",0,0,
OCESN008937F1701712656,20:43:00,20:43:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008937F1701712656,22:09:00,22:12:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008937F1701712656,22:50:00,22:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008937F1701712656,23:31:00,23:34:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008937F1701712656,23:48:00,23:52:00,StopPoint:OCETGV-87481754,4,"",0,0,
OCESN008937F1701712656,24:01:00,24:01:00,StopPoint:OCETGV-87481788,5,"",0,0,
OCESN008913F15015-1257290438,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F15015-1257290438,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F15015-1257290438,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F15015-1257290438,11:54:00,11:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008927F05005-1259490441,17:48:00,17:48:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008927F05005-1259490441,19:10:00,19:13:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008927F05005-1259490441,19:50:00,19:50:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008921F2702712614,12:44:00,12:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008921F2702712614,14:05:00,14:12:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008921F2702712614,14:50:00,14:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008921F2702712614,15:31:00,15:34:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008921F2702712614,15:48:00,15:52:00,StopPoint:OCETGV-87481754,4,"",0,0,
OCESN008921F2702712614,16:01:00,16:01:00,StopPoint:OCETGV-87481788,5,"",0,0,
OCESN008913F4404412594,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F4404412594,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F4404412594,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F4404412594,11:54:00,11:58:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008913F4404412594,12:33:00,12:36:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008913F4404412594,12:49:00,12:53:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008913F4404412594,13:03:00,13:03:00,StopPoint:OCETGV-87481788,6,"",0,0,
