service_id,date,exception_type
8162,20210210,1
8162,20210211,1
8162,20210215,2
8162,20210216,2
8162,20210217,2
8162,20210222,2
8162,20210223,2
8162,20210224,2
8162,20201224,2
8162,20201231,2
8166,20201214,2
8166,20201215,2
8166,20201216,2
8169,20210216,1
8170,20210226,1
8170,20210219,1
8170,20210220,2
8173,20210226,2
8173,20210220,2
1534,20201224,2
1534,20201225,2
8175,20210104,1
8178,20210220,2
8181,20201226,1
8181,20210215,2
8181,20210222,2
8182,20201212,1
8183,20201225,2
8184,20210215,1
8185,20210222,1
1131,20201225,1
8186,20210220,1
8186,20210219,2
8186,20210226,2
8187,20201212,1
8189,20210226,1
5559,20201218,1
8190,20201211,1
8193,20210214,2
8194,20201211,1
8195,20210306,1
8195,20210212,1
8195,20210219,1
8195,20210226,1
8195,20210305,1
8195,20201218,1
8195,20201219,1
8195,20201224,1
8195,20201225,1
8195,20201226,1
8195,20201231,1
8195,20210101,1
8195,20210102,1
8196,20210304,1
8196,20201221,1
8196,20201222,1
8196,20201223,1
8196,20201228,1
8196,20201229,1
8196,20201230,1
8196,20201214,1
8196,20201215,1
8196,20201216,1
8196,20201217,1
8196,20210104,1
8196,20210105,1
8196,20210106,1
8196,20210107,1
8196,20210111,1
8196,20210112,1
8196,20210113,1
8196,20210114,1
8196,20210118,1
8196,20210119,1
8196,20210120,1
8196,20210121,1
8196,20210125,1
8196,20210126,1
8196,20210127,1
8196,20210128,1
8196,20210201,1
8196,20210202,1
8196,20210203,1
8196,20210204,1
8196,20210208,1
8196,20210209,1
8196,20210210,1
8196,20210211,1
8196,20210215,2
8196,20210216,2
8196,20210217,2
8196,20210222,2
8196,20210223,2
8196,20210224,2
8196,20201224,2
8196,20201231,2
8198,20201212,1
8199,20210209,1
8199,20210210,1
8199,20210211,1
8199,20210213,1
8199,20210216,1
8199,20210217,1
8199,20210218,1
8199,20210220,1
8199,20210223,1
8199,20210224,1
8199,20210225,1
8199,20210227,1
8199,20210302,1
8199,20210303,1
8199,20210304,1
8199,20201217,1
8199,20201215,1
8199,20201216,1
8199,20201222,1
8199,20201223,1
8199,20201229,1
8199,20201230,1
8201,20210214,1
1324,20201218,1
405,20201225,2
405,20210101,2
328,20201224,2
328,20201231,2
1374,20201207,1
8202,20201224,2
8202,20201231,2
263,20201225,2
263,20210101,2
2402,20201224,2
1060,20201224,1
1060,20201231,1
1060,20201225,2
1060,20210101,2
5590,20201218,1
5590,20201221,1
5590,20201222,1
5590,20201223,1
5590,20201224,1
5590,20201228,1
5590,20201229,1
5590,20201230,1
5590,20201231,1
5590,20201225,2
5590,20210101,2
8204,20201207,1
8205,20201224,1
8205,20201231,1
8205,20210220,2
8206,20201225,1
8206,20210101,1
8206,20210220,2
8206,20210227,2
8209,20201207,1
8211,20210220,1
8211,20201224,2
8211,20201231,2
8212,20210220,1
8212,20210227,1
8212,20201225,2
8212,20210101,2
8215,20201225,1
8215,20210101,1
8215,20210102,2
8218,20201215,1
8218,20201216,1
8218,20201217,1
8218,20201218,1
8218,20201220,1
8218,20201222,1
8218,20201223,1
8218,20201224,1
8218,20201225,1
8218,20201227,1
8218,20201229,1
8218,20201230,1
8218,20201231,1
8218,20210101,1
8218,20210103,1
8218,20201213,1
1067,20201224,2
1067,20201231,2
8219,20210102,1
8222,20210104,1
8223,20201207,1
8225,20201225,1
8225,20210101,1
8225,20210220,2
8225,20210227,2
8228,20201225,1
8228,20210101,1
8228,20210220,2
8228,20210227,2
8229,20210301,1
8232,20201212,1
8233,20201224,1
8233,20201231,1
8234,20201212,1
8235,20201213,1
8239,20201215,1
8239,20201216,1
8239,20201217,1
8239,20201218,1
8239,20201220,1
8239,20201222,1
8239,20201223,1
8239,20201224,1
8239,20201225,1
8239,20201227,1
8239,20201229,1
8239,20201230,1
8239,20201231,1
8239,20210101,1
8239,20210103,1
8239,20201213,1
8240,20201224,2
8240,20201231,2
8241,20201211,1
8244,20201224,2
8244,20201231,2
8247,20210220,1
8247,20210227,1
8247,20201225,2
8247,20210101,2
8249,20210220,2
8249,20210227,2
8251,20210301,1
8252,20210226,2
8254,20201207,1
8255,20201211,1
8258,20210102,1
8259,20210219,2
8259,20210226,2
1276,20201218,1
8261,20201210,1
8264,20201225,1
8264,20210102,2
8266,20210226,1
5742,20201220,1
5742,20201224,1
5742,20201227,1
5742,20201231,1
5742,20210103,1
5742,20201213,1
5742,20201225,2
5742,20210101,2
8268,20201211,1
8269,20201208,1
8270,20210214,2
8271,20201224,1
8271,20201231,1
8272,20201212,1
8274,20201218,1
8274,20201217,2
8278,20201224,2
8280,20201212,1
8281,20201224,2
8281,20201231,2
8283,20210214,1
2408,20201214,1
2408,20201215,1
2408,20201216,1
2408,20201217,1
2408,20201218,1
2408,20201221,1
2408,20201222,1
2408,20201223,1
2408,20201224,1
2408,20201228,1
2408,20201229,1
2408,20201230,1
2408,20201231,1
178,20201225,2
178,20210101,2
2042,20201224,2
2042,20201225,2
2173,20210109,1
2173,20201219,1
2173,20210116,1
4515,20210306,1
139,20210123,1
6241,20210306,1
3616,20201214,1
3616,20201215,1
3616,20201216,1
3616,20201217,1
3616,20201218,1
3616,20201221,1
3616,20201222,1
3616,20201223,1
3616,20201224,1
3616,20201228,1
3616,20201229,1
3616,20201230,1
3616,20201231,1
2852,20201214,1
2852,20201215,1
2852,20201216,1
2852,20201217,1
2852,20201218,1
2852,20201221,1
2852,20201222,1
2852,20201223,1
2852,20201224,1
2852,20201228,1
2852,20201229,1
2852,20201230,1
2852,20201231,1
164,20210124,1
8284,20210306,1
8285,20210109,1
8285,20201219,1
8285,20210116,1
8287,20201212,1
8289,20201212,1
4852,20201214,1
4852,20201215,1
4852,20201216,1
4852,20201217,1
4852,20201218,1
4852,20201221,1
4852,20201222,1
4852,20201223,1
4852,20201224,1
4852,20201228,1
4852,20201229,1
4852,20201230,1
4852,20201231,1
5250,20201224,1
5250,20201231,1
5250,20201225,2
5250,20210101,2
8291,20210108,1
8291,20201218,1
8291,20210115,1
3463,20201213,1
8294,20210108,1
8294,20201218,1
8294,20210115,1
8298,20201212,1
8301,20201214,1
8301,20201215,1
8301,20201216,1
8301,20201217,1
8301,20201221,1
8301,20201222,1
8301,20201223,1
8301,20201228,1
8301,20201229,1
8301,20201230,1
8303,20210220,1
8303,20210306,1
8304,20210109,1
8304,20201219,1
8304,20210116,1
8305,20210213,1
8305,20210227,1
5252,20201224,2
5252,20201231,2
6228,20201225,2
6228,20210101,2
6221,20210301,1
6221,20210302,1
6221,20210303,1
6221,20210304,1
6221,20210305,1
8306,20201220,2
8306,20201227,2
8306,20210214,2
8306,20210221,2
6218,20201214,1
6218,20201215,1
6218,20201216,1
6218,20201217,1
6218,20201218,1
6218,20201221,1
6218,20201222,1
6218,20201223,1
6218,20201228,1
6218,20201229,1
6218,20201230,1
8308,20201212,1
5354,20201221,2
5354,20201222,2
5354,20201223,2
5354,20201224,2
5354,20201228,2
5354,20201229,2
5354,20201230,2
5354,20201231,2
8309,20201212,1
8310,20201212,1
8312,20201219,1
2333,20201220,2
2333,20201227,2
5383,20201221,2
5383,20201228,2
6179,20201221,2
6179,20201222,2
6179,20201223,2
6179,20201224,2
6179,20201228,2
6179,20201229,2
6179,20201230,2
6179,20201231,2
8314,20201220,2
8314,20201227,2
6178,20201224,1
6178,20201231,1
6178,20201225,2
6178,20210101,2
1881,20201214,1
1881,20201215,1
1881,20201216,1
1881,20201217,1
1881,20201218,1
1881,20210208,1
1881,20210215,1
1881,20210222,1
1881,20210301,1
1881,20201221,1
1881,20201222,1
1881,20201223,1
1881,20201228,1
1881,20201229,1
1881,20201230,1
8315,20201212,1
381,20201221,2
381,20201222,2
381,20201223,2
381,20201224,2
381,20201225,2
381,20201228,2
381,20201229,2
381,20201230,2
381,20201231,2
381,20210101,2
8316,20201227,2
8316,20210103,2
4751,20201220,2
4751,20201227,2
8317,20201212,1
3570,20210109,1
3570,20210116,1
3570,20210123,1
1268,20210220,2
8322,20201228,2
