Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
VIERZON VILLE;PARIS AUSTERLITZ;15.0;32.0;48.0;32.0
ANDORRE L'HOSPITALET;TOULOUSE MATABIAU;;25.1;37.6;25.1
ALBI MADELEINE;ASSIER;;23.8;35.7;23.8
ALBI VILLE;AUBIN;;22.8;34.2;22.8
LUC EN DIOIS;PARIS GARE DE LYON;35.0;128.0;195.0;87.0
DAX;LES AUBRAIS - ORLÉANS;35.0;123.0;181.0;86.0
TOULOUSE MATABIAU;Montauban Ville Bourbon;;10.4;15.6;10.4
ST JEAN DE LUZ CIBOURE;DAX;;13.9;20.9;13.9
AUBIN;ROCAMADOUR PADIRAC;;13.1;19.6;13.1
PARIS GARE DE LYON;TOULON;35.0;145.0;224.0;113.0
BRIANCON;PARIS AUSTERLITZ;35.0;147.0;222.0;112.0
LATOUR DE CAROL ENVEITG;LUZENAC GARANOU;;9.8;14.6;9.8
FOIX;AUTERIVE (31);;10.1;15.1;10.1
ST DENIS PRES MARTEL;LES AUBRAIS - ORLÉANS;35.0;105.0;148.0;68.0
LUZENAC GARANOU;LIMOGES BENEDICTINS;35.0;101.0;148.0;70.0
MERENS LES VALS;LUZENAC GARANOU;;4.2;6.3;4.2
AUTERIVE (31);PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
MONTDAUPHIN GUILLESTRE;VEYNES DEVOLUY;;15.0;22.5;15.0
LOURDES;MONTREJEAU GOURDAN POLIGNAN;;14.1;21.1;14.1
DAX;PAU;;15.6;23.4;15.6
AUTERIVE (31);LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
LES CABANNES;VIERZON VILLE;35.0;121.0;179.0;96.0
LATOUR DE CAROL ENVEITG;AUTERIVE (31);;22.5;33.7;22.5
TARASCON SUR ARIEGE;TOULOUSE MATABIAU;;17.7;26.5;17.7
PAU;MONTREJEAU GOURDAN POLIGNAN;;20.4;30.5;20.4
PARIS GARE DE LYON;ST RAPHAEL VALESCURE;35.0;160.0;247.0;129.0
MERENS LES VALS;PAMIERS;;13.1;19.6;13.1
FIGEAC;ST DENIS PRES MARTEL;;11.9;17.8;11.9
CRANSAC;GRAMAT;;12.2;18.2;12.2
TOULOUSE MATABIAU;Caussade;;14.1;21.1;14.1
IRUN;TARBES;15.0;32.2;48.3;32.2
ALBI MADELEINE;PARIS AUSTERLITZ;35.0;136.0;195.0;93.0
BIARRITZ;LES AUBRAIS - ORLÉANS;35.0;129.0;190.0;90.0
PORTE PUYMORENS;VIERZON VILLE;35.0;121.0;179.0;96.0
CARMAUX;LES AUBRAIS - ORLÉANS;35.0;111.0;158.0;82.0
ROCAMADOUR PADIRAC;LES AUBRAIS - ORLÉANS;35.0;105.0;148.0;68.0
MERENS LES VALS;AX LES THERMES;;2.8;4.1;2.8
LATOUR DE CAROL ENVEITG;ANDORRE L'HOSPITALET;;4.4;6.6;4.4
ST JEAN DE LUZ CIBOURE;CHORGES;;5.3;7.9;5.3
VIVIEZ DECAZEVILLE;ASSIER;;8.3;12.5;8.3
LUZENAC GARANOU;FOIX;;7.2;10.8;7.2
TARASCON SUR ARIEGE;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
PARIS GARE DE LYON;BRIANCON;35.0;147.0;222.0;112.0
LOURDES;LES AUBRAIS - ORLÉANS;35.0;134.0;196.0;97.0
HENDAYE;PARIS AUSTERLITZ;35.0;143.0;208.0;101.0
FOIX;TOULOUSE MATABIAU;;15.4;23.1;15.4
LATOUR DE CAROL ENVEITG;TARASCON SUR ARIEGE;;12.3;18.5;12.3
ANDORRE L'HOSPITALET;FOIX;;11.9;17.8;11.9
ANDORRE L'HOSPITALET;AX LES THERMES;;4.8;7.2;4.8
LES CABANNES;TARASCON SUR ARIEGE;;2.8;4.1;2.8
