Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
SAINT FLORENT SUR CHER;VALLON EN SULLY;;12.8;19.1;;
CAEN;ARGENTAN;;12.9;19.3;;
LA PARDIEU;BRIOUDE;;13.1;19.6;;
COMPIÈGNE;ST QUENTIN;;13.4;20.0;;
LA ROCHELLE;SAINTES;;13.8;20.7;;
BAR SUR AUBE;LANGRES;;14.1;21.1;;
ROUEN;LE HAVRE;;16.0;24.0;;
SAINT FLORENT SUR CHER;MONTLUÇON;;16.2;24.3;;
LIBOURNE;PÉRIGUEUX;;16.6;24.9;;
CULMONT CHALINDREY;LURE;;18.3;27.4;;
MUSSIDAN;BRIVE LA GAILLARDE;;19.8;29.7;;
TERRASSON;USSEL;;20.1;30.1;;
COUTRAS;THIVIERS;;20.2;30.3;;
ST GEORGES D'AURAC;GÉNOLHAC;;22.2;33.3;;
NOGENT SUR SEINE;CHAUMONT;10;26.3;39.4;;
ST ASTIER;EGLETONS;;26.3;39.4;;
ST GERMAIN DES FOSSÉS;LYON PART DIEU;10;27.7;41.5;;
ST JEAN DE LUZ CIBOURE;LOURDES;10;28.1;42.1;;
CHATELAILLON;BORDEAUX;10;30.3;45.5;;
EVREUX;LISON;10;30.6;45.8;;
ST PIERRE DES CORPS;SAINCAIZE;10;32.0;48.0;;
CLERMONT FERRAND;GÉNOLHAC;10;34.6;51.9;;
NANTES;JONZAC;10;43.6;65.4;;
LYON PART DIEU;TOURS;15;63.0;94.5;;
LYON PERRACHE;NEVERS;10;39.8;59.7;;
MONTENDRE;ST MARIENS;;4.0;5.9;;
VERNEUIL-SUR-AVRE;L'AIGLE;;5.5;8.2;;
CONDAT LE LARDIN;BRIVE LA GAILLARDE;;5.9;8.9;;
CAEN;BAYEUX;;6.8;10.2;;
CLERMONT FERRAND;ISSOIRE;;7.9;11.8;;
PÉRIGUEUX;THIVIERS;;8.0;12.0;;
ABBEVILLE;RANG-DU FLIERS;;8.5;12.7;;
VILLEFORT;ALÈS;;9.5;14.2;;
SAINCAIZE;MOULINS SUR ALLIER;;9.9;14.9;;
LA PARDIEU;BRASSAC LES MINES;;10.4;15.6;;
RUE;BOULOGNE SUR MER;;10.9;16.3;;
BOURGES;SAINT AMAND MONTROND;;11.5;17.3;;
GIEN;POUILLY SUR LOIRE;;11.7;17.5;;
PAU;TARBES;;11.7;17.5;;
VENDEUVRE;CHAUMONT;;12.0;18.0;;
CHATEAUNEUF SUR CHER;MONTLUÇON;;13.6;20.5;;
BAYEUX;VALOGNES;;13.9;20.9;;
FLERS;GRANVILLE;;15.6;23.4;;
MUSSIDAN;TERRASSON;;16.3;24.5;;
ST ASTIER;BRIVE LA GAILLARDE;;16.5;24.7;;
VIERZON;NEVERS;;18.0;26.9;;
VERSAILLES-CHANTIERS;VERNEUIL-SUR-AVRE;;18.0;26.9;;
VIERZON;VALLON EN SULLY;;20.9;31.4;;
VERNON;LE HAVRE;;21.8;32.7;;
PARIS NORD;AMIENS;10;22.8;34.2;;
TOURS;BOURGES;;24.8;37.2;;
LIBOURNE;TERRASSON;;24.9;37.4;;
NEMOURS;POUGUES LES EAUX;;26.5;39.7;;
MANTES-LA-JOLIE;LE HAVRE;10;28.5;42.8;;
CLERMONT-DE-L'OISE;BOULOGNE SUR MER;10;30.6;45.8;;
DREUX;VIRE;10;30.8;46.2;;
HENDAYE;TARBES;10;32.1;48.1;;
LA PARDIEU;GÉNOLHAC;10;34.3;51.4;;
PARIS GARE DE BERCY;POUGUES LES EAUX;15;36.9;55.4;;
ANGERS ST LAUD;BOURGES;15;38.0;57.0;;
PARIS GARE DE BERCY;NEVERS;15;38.5;57.8;;
PARIS AUSTERLITZ;CHATEAUNEUF SUR CHER;15;40.3;60.5;;
PARIS AUSTERLITZ;SAINT AMAND MONTROND;15;43.0;64.5;;
LYON PERRACHE;MOULINS SUR ALLIER;10;32.6;48.9;;
LYON VAISE;ST PIERRE DES CORPS;15;62.7;94.1;;
RANG-DU FLIERS;ETAPLES LE TOUQUET;;3.0;4.4;;
COUTRAS;MONTPON-MÉNESTÉROL;;5.5;8.2;;
BRÉAUTÉ-BEUZEVILLE;LE HAVRE;;5.7;8.5;;
BUSIGNY;CAMBRAI;;5.9;8.9;;
LA CHARITÉ;NEVERS;;5.9;8.9;;
LE CATEAU;AULNOYE;;6.1;9.2;;
GÉNOLHAC;ALÈS;;7.4;11.1;;
ST QUENTIN;LE CATEAU;;7.9;11.8;;
BAYEUX;CARENTAN;;9.3;13.9;;
BERNAY;PONT L'EVEQUE;;9.9;14.9;;
LONGUEAU;ABBEVILLE;;10.1;15.1;;
CARENTAN;CHERBOURG;;11.2;16.8;;
CLERMONT FERRAND;ARVANT;;11.9;17.8;;
GIEN;LA CHARITÉ;;13.8;20.7;;
LOURDES;MONTRÉJEAU;;14.1;21.1;;
PARIS MONTPARNASSE VAUGIRARD;DREUX;;15.1;22.7;;
NOYON;CAUDRY;;15.3;22.9;;
BOURGES;VALLON EN SULLY;;15.7;23.6;;
PARIS SAINT LAZARE;GAILLON-AUBEVOYE;;16.6;24.9;;
TROYES;CHAUMONT;;17.2;25.8;;
COARRAZE-NAY;MONTRÉJEAU;;17.4;26.0;;
LA ROCHE SUR YON;LA ROCHELLE;;18.3;27.4;;
MONTRÉJEAU;TOULOUSE MATABIAU;;18.4;27.6;;
GAILLON-AUBEVOYE;BRÉAUTÉ-BEUZEVILLE;;19.9;29.9;;
PAU;BIARRITZ;10;20.5;30.8;;
BRIOUDE;LA BASTIDE ST LAURENT;;20.9;31.4;;
LANGEAC;GÉNOLHAC;;21.1;31.6;;
CREIL;ABBEVILLE;;21.9;32.9;;
PARIS SAINT LAZARE;OISSEL;10;22.1;33.1;;
ARGENTAN;GRANVILLE;;22.7;34.0;;
CAEN;CHERBOURG;;22.9;34.4;;
NANTES;SAUMUR RIVE DROITE;;22.9;34.4;;
ARGENTAN;CHÂTEAU DU LOIR;;25.2;37.8;;
MONTPON-MÉNESTÉROL;TULLE (+ REBROUSSEMENT);;26.3;39.4;;
BRASSAC LES MINES;VILLEFORT;;26.5;39.7;;
EVREUX;BAYEUX;10;27.3;41.0;;
LA PARDIEU;LANGOGNE;;28.1;42.1;;
MUSSIDAN;EGLETONS;10;28.5;42.8;;
PARIS GARE DE BERCY;TRACY SANCERRE;10;32.7;49.0;;
ST PIERRE DES CORPS;MOULINS SUR ALLIER;15;37.9;56.8;;
BOULOGNE VILLE;PARIS NORD;15;38.5;57.8;;
NEVERS;LYON PART DIEU;10;39.8;59.7;;
AURAY;LUÇON;15;40.1;60.1;;
LURE;PARIS EST;20;55.9;83.9;;
PEYREHORADE;BAYONNE;;7.4;11.1;;
VAL-DE-REUIL;OISSEL;;3.7;5.6;;
MONTPON-MÉNESTÉROL;MUSSIDAN;;3.9;5.9;;
TERGNIER;ST QUENTIN;;5.3;7.9;;
ETAPLES LE TOUQUET;BOULOGNE SUR MER;;6.1;9.2;;
COUTRAS;CORRÈZE;10;31.2;46.7;;
MOULINS SUR ALLIER;ST GERMAIN DES FOSSÉS;;8.7;13.0;;
