dep;arr;Prix.d.appel.2nde;Plein.Tarif.Loisir.2nde;X1ère.classe
MIRAMAS;MONTELIMAR;0;29;43
BOURGSTMAURICE;AIXLESBAINSLEREVARD;0;31;44
LYONPERRACHE;LECREUSOTMONTCEAUMONTCHANIN;0;33;47
DAX;LIBOURNE;0;35;49
LETEIL;SETE;0;37;52
LYONPERRACHE;MONTBELIARD;0;37;52
RENNES;LANDERNEAU;0;40;57
FACTUREBIGANOS;LOURDES;15;40;57
DIJONVILLE;NANCYVILLE;15;40;64
VILLENEUVELESAVIGNONS;LESARCSDRAGUIGNAN;15;43;62
STNAZAIRE;STPIERREDESCORPS;0;43;63
PAU;LIBOURNE;0;44;65
DAX;ANGOULEME;0;46;67
ORTHEZ;FUTUROSCOPE;0;66;95
BIARRITZ;STPIERREDESCORPS;25;76;110
LESARCSDRAGUIGNAN;VENTIMIGLIASTAZIONE;0;24;36
VENDOME;POITIERS;0;30;45
GENEVE;STPERAY;0;49;75
CASTELNAUDARY;VALENCETGV;0;54;93
LYONSTEXUPERY;HYERES;20;63;92
MARSEILLESTCHARLES;ANNECY;25;91;120
AEROPORTCDGTGVROISSY;MONTPELLIER;25;114;160
AIXENPROVENCETGV;PARISGAREDELYON;25;116;162
MARNELAVALLEECHESSY;MARSEILLESTCHARLES;25;116;162
AVIGNON;AEROPORTCDGTGVROISSY;25;116;162
AVIGNONSUD;PARISGAREDELYON;25;116;162
MARNELAVALLEECHESSY;ECOLEVALENTIN;0;83;111
MULHOUSEVILLE;NIMES;20;119;152
METZVILLE;VALENCETGV;25;109;142
NANCYVILLE;NARBONNE;25;123;155
CULMONTCHALINDREY;BEZIERS;25;94;125
PARISAUSTERLITZ;ANGERS;20;73;104
PARISAUSTERLITZ;FACTURE;25;102;134
MASSYTGV;RUFFECCHARENTE;20;87;121
ANGOULEME;MARNELAVALLEECHESSY;20;87;121
VANNES;DOUAI;25;114;150
ANGOULEME;LORRAINETGV;25;119;156
BORDEAUXSTJEAN;LILLEEUROPE;25;130;171
LILLEFLANDRES;LIBOURNE;25;130;171
PARISMONTPARNASSEET;VITRE;15;72;104
MASSYTGV;STMAIXENTDEUXSEVRES;20;84;118
CHATELLERAULT;STPIERREDESCORPS;0;15;22
ANGOULEME;CHATELLERAULT;0;28.5;42
LAVAL;QUIMPERLE;0;45;66
LEMANS;VANNES;0;47;68
MARNELAVALLEECHESSY;AURAY;20;91;127
MASSYTGV;ROSPORDEN;20;95;134
LAVAL;TGVHAUTEPICARDIE;25;88;112
BORDEAUXSTJEAN;CHAMPAGNEARDENNE;25;119;168
BORDEAUXSTJEAN;MEUSETGV;25;134;176
LEMANS;NIMES;25;125;168
LESSABLESD'OLONNE;PARISMONTPARNASSEET;25;88;128
PARISMONTPARNASSEET;RENNES;20;93;131
PARISMONTPARNASSEET;REDON;20;94;136
GUINGAMP;PARISMONTPARNASSEET;20;98;137
PAU;PARISMONTPARNASSEET;25;123;173
MARNELAVALLEECHESSY;REDON;20;94;136
AIXENPROVENCETGV;AVIGNONTGV;0;30;44
LYONPERRACHE;MONTELIMAR;0;35;47
LAROCHEMIGENNES;LECREUSOTMONTCEAUMONTCHANIN;0;46;60
VALENCE;SETE;15;54;78
LILLEFLANDRES;MASSYTGV;15;63;82
VALENCETGV;ANTIBES;20;72;102
VALENCETGV;VENTIMIGLIASTAZIONE(IT);20;72;102
BELLEGARDE;LESARCSDRAGUIGNAN;25;84;123
LYONPARTDIEU;ANTIBES;25;86;121
CANNES;LYONSTEXUPERY;25;86;121
BEAUNE;SETE;20;84;124
BORDEAUXSTJEAN;PARISMONTPARNASSEVAUGIRARD;0;96;126
CARCASSONNE;BEAUNE;25;84;124
LECROISIC;TGVHAUTEPICARDIE;25;98;124
PORNICHET;LECREUSOTMONTCEAUMONTCHANIN;0;107;140
MARSEILLESTCHARLES;SENS;25;105;148
AGEN;MACONVILLE;25;109;147
LEMANS;VALENCE;25;113;148
SAUMUR;VALENCE;25;116;151
MODANE;TGVHAUTEPICARDIE;25;119;156
ANGERSSTLAUD;MOUTIERSSALINSBRIDES;25;120;161
GUINGAMP;LYONPARTDIEU;25;122;156
VALENCETGV;DOUAI;25;127;159
LILLEEUROPE;MORLAIX;25;125;161
LILLEEUROPE;ANNEMASSE;0;127;167
DUNKERQUE;CHAMBERYCHALLESLESEAUX;25;127;167
NANTES;MOUTIERSSALINSBRIDES;25;127;167
NANTES;ALBERTVILLE;25;127;167
RENNES;SALLANCHESCOMBLOUXMEGEVE;25;132;170
LAVAL;MARSEILLESTCHARLES;25;133;173
CLUSES;VANNES;30;137;179
LANDRY;STBRIEUC;30;137;179
STBRIEUC;ALBERTVILLE;30;137;179
LILLEFLANDRES;AGEN;30;144;174
DAX;LILLEFLANDRES;30;144;174
ANGERSSTLAUD;LYONPERRACHE;25;99;140
LAVAL;LYONPARTDIEU;25;99;140
LYONPARTDIEU;STPIERREDESCORPS;25;97;135
FUTUROSCOPE;STPIERREDESCORPS;0;20.5;29.5
ROSPORDEN;VITRE;0;45;66
LEMANS;BREST;0;69;98
MASSYTGV;STMALO;20;95;138
MARNELAVALLEECHESSY;AURAY;20;100;140
STMAIXENTDEUXSEVRES;NIORT;0;7.6;11
BREAUTEBEUZEVILLE;YVETOT;0;7.9;11.3
BEZIERS;NARBONNE;0;8.2;13
LECROISIC;STNAZAIRE;0;8.7;12.6
GROISYTHORENSLACAILLE;BONNEVILLE;0;9.3;13.7
ANCENIS;NANTES;0;9.6;14.3
ARRAS;BETHUNE;0;10.6;15.5
RETHEL;CHARLEVILLEMEZIERES;0;11.9;18
ANTIBES;STRAPHAELVALESCURE;0;12.1;18.5
LIMOGESBENEDICTINS;LASOUTERRAINE;0;14.7;21.5
CHAMBERYCHALLESLESEAUX;STJEANDEMAURIENNEARVAN;0;15.5;22.5
LUNEVILLE;SAVERNE;0;17.5;25.5
CULOZ;LYONPARTDIEU;0;18;26.5
AIXENPROVENCETGV;TOULON;0;18;27
