PARIS MONTPARNASSE 1 ET 2;AURAY;20;100;140
AEROPORT CDG2 TGV ROISSY;LANDERNEAU;20;100;142
AEROPORT CDG2 TGV ROISSY;ROSPORDEN;20;103;147
LILLE FLANDRES;QUIMPER;25;131;169
IRUN;BIARRITZ;0;8.3;12.6
MORLAIX;PLOUARET TREGOR;0;9.1;13.7
BAYEUX;CAEN;0;9.1;18.5
IRUN;BAYONNE;0;10.6;15
PAU;LOURDES;0;10.6;15.5
QUIMPERLE;QUIMPER;0;11.9;17.5
ST MAIXENT DEUX SEVRES;POITIERS;0;13.2;19.5
BOURG EN BRESSE;LONS LE SAUNIER;0;13.5;20.5
QUIMPERLE;VANNES;0;16;23
ROSPORDEN;AURAY;0;17.5;24
ARLES;MARSEILLE BLANCARDE;0;18;26
NANCY VILLE;SARREBOURG;0;18.5;27
ANGERS ST LAUD;NANTES;0;19.5;27.5
ROSPORDEN;VANNES;0;21;31
AIX EN PROVENCE TGV;HYERES;0;21.5;31
BELLEGARDE;ST GERVAIS LES BAINS LE FAYET;0;21.5;32
LEPIN LE LAC LA BAUCHE;ST GERVAIS LES BAINS LE FAYET;0;24;36
LYON PERRACHE;ANNECY;0;24.5;37
RUFFEC CHARENTE;LIBOURNE;0;28.5;42
ANCENIS;LES SABLES D'OLONNE;0;28.5;42
ARLES;ST PERAY;0;31;44
LYON ST EXUPERY;LE CREUSOT MONTCEAU MONTCHANIN;0;33;47
LE TEIL;MONTPELLIER;0;34;48
BORDEAUX ST JEAN;MONTAUBAN VILLE BOURBON;0;36;53
LYON PART DIEU;AIME LA PLAGNE;0;44;64
AGEN;NARBONNE;15;44;66
MACON LOCHE TGV;NEUFCHATEAU;15;45;67
LYON PART DIEU;MONTBELIARD;15;46;68
LIMOGES BENEDICTINS;JUVISY;20;62;90
POITIERS;BAYONNE;0;65;93
FUTUROSCOPE;MONTAUBAN VILLE BOURBON;20;67;97
BRIVE LA GAILLARDE;JUVISY TGV;25;72;107
CHATELLERAULT;TARBES;0;73;105
AIX LES BAINS LE REVARD;ANTIBES;25;105;163
MONTPELLIER;MONTAUBAN VILLE BOURBON;15;47;72
MONACO MONTE CARLO;VENTIMIGLIA STAZIONE;0;3.9;7.7
ST RAPHAEL VALESCURE;VENTIMIGLIA STAZIONE;0;20;28.5
BAYEUX;VERSAILLES CHANTIERS;15;44;64
GENEVE;AVIGNON;20;66;97
FORBACH;PARIS EST;25;74;124
ANNECY;NICE VILLE;25;108;160
AVIGNON;ANNECY;0;77;106
AVIGNON;MANTES LA JOLIE;25;116;162
GRENOBLE;PARIS GARE DE LYON;25;108;145
COLMAR;AVIGNON TGV;20;114;149
STRASBOURG;LYON PART DIEU;20;87;111
PARIS EST;SARREBOURG;25;85;124
THIONVILLE;Colmar;0;47;64
Thionville;CHALON SUR SAONE;25;83;115
paris austerlitz;Nantes;20;85;122
LORRAINE TGV;NANTES;25;121;158
MARSEILLE ST CHARLES;ST PIERRE DES CORPS;25;125;167
BORDEAUX ST JEAN;MASSY TGV;20;96;126
MASSY TGV;FUTUROSCOPE;20;75;107
LA ROCHELLE VILLE;PARIS MONTPARNASSE 1 ET 2;25;89;123
MARNE LA VALLEE CHESSY;VANNES;20;88;123
LAVAL;LYON PART DIEU;25;96;135
TOURS;ANGOULEME;0;38;53
FACTURE BIGANOS;POITIERS;0;47;68
STRASBOURG;RENNES;30;146;189
AEROPORT CDG 2 TGV ROISSY;ROSPORDEN;20;95;134
MASSY TGV;QUIMPER;20;95;134
LILLE FLANDRES;ST MALO;25;116;147
ANGOULEME;ARRAS;25;120;156
RENNES;VALENCE TGV;25;139;168
MARSEILLE ST CHARLES;RENNES;30;148;188
NIORT;PARIS MONTPARNASSE 1 ET 2;20;90;126
LE POULIGUEN;AEROPORT CDG2 TGV ROISSY;25;88;128
JUVISY;MARNE LA VALLEE CHESSY;0;35;47
AVIGNON TGV;ST RAPHAEL VALESCURE;15;53;77
BEZIERS;VALENCE;15;54;78
MELUN;LE CREUSOT MONTCEAU MONTCHANIN;0;67;84
CARCASSONNE;VALENCE;20;65;95
PARIS MONTPARNASSE 3 VAUGIRARD;FUTUROSCOPE;0;75;107
LYON PERRACHE;SETE;20;70;93
LYON PART DIEU;AGDE;20;70;95
LORRAINE TGV;PARIS EST;20;77;110
AIX EN PROVENCE TGV;TOULOUSE MATABIAU;20;69;100
LE POULIGUEN;LE CREUSOT MONTCEAU MONTCHANIN;0;107;140
ST NAZAIRE;LE CREUSOT MONTCEAU MONTCHANIN;25;107;140
FUTUROSCOPE;DOUAI;25;109;143
ARRAS;ST NAZAIRE;25;108;140
LE MANS;GRENOBLE;25;111;154
CHAMPAGNE ARDENNE;LIBOURNE;25;112;149
PORNICHET;LYON PERRACHE;25;113;150
DOLE VILLE;LILLE FLANDRES;25;113;139
LYON ST EXUPERY;ARRAS;25;116;154
DUNKERQUE;LYON ST EXUPERY;25;116;154
LILLE EUROPE;NIORT;25;118;149
AIME LA PLAGNE;TGV HAUTE PICARDIE;25;119;156
ST AVRE LA CHAMBRE;TGV HAUTE PICARDIE;25;119;156
CHAMBERY CHALLES LES EAUX;RENNES;25;127;166
BREST;LE CREUSOT MONTCEAU MONTCHANIN;25;129;166
LILLE FLANDRES;ST MICHEL VALLOIRE;0;127;167
DUNKERQUE;ST JEAN DE MAURIENNE ARVAN;25;127;167
LE HAVRE;AIX EN PROVENCE TGV;25;129;177
AVIGNON;TGV HAUTE PICARDIE;30;136;174
MODANE;AURAY;0;137;179
ST GERVAIS LES BAINS LE FAYET;REDON;30;137;179
VANNES;AIX LES BAINS LE REVARD;30;137;179
AVIGNON TGV;ARRAS;30;144;180
LILLE FLANDRES;BAYONNE;30;144;174
TGV HAUTE PICARDIE;ST JEAN DE LUZ CIBOURE;30;144;174
IRUN;TGV HAUTE PICARDIE;30;144;174
MODANE;MORLAIX;30;147;190
BOURG ST MAURICE;QUIMPER;30;147;190
ANNECY;QUIMPER;30;147;190
LILLE FLANDRES;ANTIBES;30;155;196
MARNE LA VALLEE CHESSY;DOUAI;15;52;66
MARNE LA VALLEE CHESSY;VIERZON VILLE;20;62;78
COLMAR;CHALON SUR SAONE;20;72;90
BEZIERS;MACON VILLE;20;81;107
BESANCON VIOTTE;MONTPELLIER;20;111;144
MULHOUSE VILLE;LYON ST EXUPERY;20;78;100
LYON PERRACHE;BELFORT-MONTBELIARD TGV;15;67;85
LYON PERRACHE;BESANCON FRANCHE-COMTE TGV;15;51;68
MASSY TGV;NANCY VILLE;0;77;110
AEROPORT CDG 2 TGV ROISSY;MONTAUBAN VILLE BOURBON;25;109;142
BEZIERS;MARNE LA VALLEE CHESSY;25;116;162
BEZIERS;PARIS NORD;25;116;162
PARIS GARE DE LYON;MONACO MONTE CARLO;25;132;185
AEROPORT CDG 2 TGV ROISSY;ANNEMASSE;25;108;152
MARNE LA VALLEE CHESSY;EVIAN LES BAINS;25;108;152
MARNE LA VALLEE CHESSY;LE CREUSOT MONTCEAU MONTCHANIN;20;82;114
ST ETIENNE CHATEAUCREUX;MARNE LA VALLEE CHESSY;25;100;141
DUNKERQUE;PARIS NORD;15;66;85
AVIGNON;TOULON;0;41;58
COLMAR;AEROPORT CDG 2 TGV ROISSY;25;96;137
STRASBOURG;CHAMBERY CHALLES LES EAUX;25;102;120
STRASBOURG;ALBERTVILLE;20;114;139
COLMAR;AIME LA PLAGNE;25;109;134
BESANCON FRANCHE-COMTE TGV;ALBERTVILLE;20;75;89
MOUTIERS SALINS BRIDES;BESANCON FRANCHE-COMTE TGV;20;78;95
LAVAL;MODANE;25;127;166
BESANCON VIOTTE;ALBERTVILLE;0;75;89
LILLE FLANDRES;TOURCOING;0;4.3;7.7
GROISY THORENS LA CAILLE;ANNECY;0;5.3;8.4
LE POULIGUEN;NANTES;0;18.5;26.5
LE MANS;ST MALO;0;46;67
LE MANS;PLOUARET TREGOR;0;55;81
MASSY TGV;AURAY;20;100;140
BREST;MARNE LA VALLEE CHESSY;20;100;142
ARRAS;ST JEAN DE LUZ CIBOURE;30;144;174
NIMES;ARRAS;30;144;184
BREST;SALLANCHES COMBLOUX MEGEVE;30;147;190
CHAMBERY CHALLES LES EAUX;QUIMPER;30;147;190
LA ROCHE SUR FORON;MORLAIX;30;147;190
MORLAIX;ANNEMASSE;30;147;190
LILLE EUROPE;ST RAPHAEL VALESCURE;30;155;196
AVIGNON;MONTPELLIER;0;25.5;35
PARIS GARE DE LYON;HYERES;25;121;166
LA SOUTERRAINE;AEROPORT CDG 2 TGV ROISSY;20;80;101
MULHOUSE VILLE;BELFORT-MONTBELIARD TGV;0;16.5;20.5
CARCASSONNE;MACON VILLE;25;84;124
MONTPELLIER;CHALON SUR SAONE;20;81;107
MACON VILLE;ST RAPHAEL VALESCURE;25;107;140
COLMAR;LYON PERRACHE;20;85;110
LILLE FLANDRES;BELFORT-MONTBELIARD TGV;20;129;166
ANCENIS;PARIS MONTPARNASSE 1 ET 2;20;77;111
LA ROCHELLE VILLE;AEROPORT CDG 2 TGV ROISSY;25;89;123
AEROPORT CDG 2 TGV ROISSY;NIORT;20;84;118
ST MAIXENT DEUX SEVRES;MARNE LA VALLEE CHESSY;20;84;118
ST MAIXENT DEUX SEVRES;AEROPORT CDG 2 TGV ROISSY;20;84;118
DAX;AEROPORT CDG 2 TGV ROISSY;25;110;143
AEROPORT CDG 2 TGV ROISSY;ST RAPHAEL VALESCURE;25;132;185
MASSY TGV;ALBERTVILLE;25;115;154
MASSY TGV;ST JEAN DE MAURIENNE ARVAN;25;111;149
ST JEAN DE MAURIENNE ARVAN;PARIS NORD;25;111;149
PARIS GARE DE LYON;BELLEGARDE;25;91;129
DOLE VILLE;AEROPORT CDG 2 TGV ROISSY;20;79;105
AEROPORT CDG 2 TGV ROISSY;VALENCE;25;103;143
PARIS NORD;VALENCE;25;103;143
ARLES;PARIS GARE DE LYON;25;105;147
EPINAL;PARIS EST;25;85;123
RETHEL;PARIS EST;15;44;69
LYON ST EXUPERY;CHATELLERAULT;25;96;135
AVIGNON;NARBONNE;0;46;61
SAVERNE;FUTUROSCOPE;30;137;182
AIX EN PROVENCE TGV;ECOLE VALENTIN;0;111;144
VENDOME VILLIERS SUR LOIR;VALENCE;25;113;148
AVIGNON TGV;PERPIGNAN;15;48;62
AIME LA PLAGNE;BELFORT-MONTBELIARD TGV;25;92;115
LANDRY;BELFORT-MONTBELIARD TGV;25;92;115
LANDRY;BESANCON FRANCHE-COMTE TGV;20;78;97
VERSAILLES CHANTIERS;BOURG ST MAURICE;25;118;161
MASSY PALAISEAU;ALBERTVILLE;25;115;154
GRENOBLE;MARSEILLE ST CHARLES;20;65;86
PORNICHET;LE POULIGUEN;0;3;5.7
MONACO MONTE CARLO;MENTON;0;3;5.8
CHAMBERY CHALLES LES EAUX;AIX LES BAINS LE REVARD;0;4.6;7.9
PORNICHET;LE CROISIC;0;4.6;7.9
FACTURE BIGANOS;LA TESTE;0;5.1;8.4
LA BAULE ESCOUBLAC;ST NAZAIRE;0;6;9.2
AGDE;SETE;0;7.5;11.5
CLUSES  74;LA ROCHE SUR FORON;0;7.9;11.3
CARENTAN;VALOGNES;0;8.5;12.6
CULOZ;BELLEGARDE;0;9.3;13.7
BORDEAUX ST JEAN;FACTURE BIGANOS;0;10.6;15.5
DUNKERQUE;HAZEBROUCK;0;10.7;15.5
BEZIERS;SETE;0;12.1;18.5
NIMES;MONTPELLIER;0;13.2;19.5
CULOZ;ANNECY;0;14.2;20.5
COLMAR;SAVERNE;0;15.5;23
PLOUARET TREGOR;LANDERNEAU;0;16;23
GROISY THORENS LA CAILLE;ST GERVAIS LES BAINS LE FAYET;0;16.5;23.5
DIJON VILLE;MONTBARD;0;16.5;23.5
ANNECY;SALLANCHES COMBLOUX MEGEVE;0;17.5;24
LEPIN LE LAC LA BAUCHE;BOURG ST MAURICE;0;21;31
MACON LOCHE TGV;LE CREUSOT MONTCEAU MONTCHANIN;0;23;34
MENTON;LES ARCS DRAGUIGNAN;0;23.5;35
TOULON;MONACO MONTE CARLO;0;35;49
LYON PART DIEU;MOUCHARD;0;24.5;36
QUIMPER;VANNES;0;24.5;37
LILLE EUROPE;CALAIS FRETHUN;0;26;39
CHAMBERY CHALLES LES EAUX;BOURG ST MAURICE;0;28.5;42
MIRAMAS;MONTELIMAR;0;29;43
BOURG ST MAURICE;AIX LES BAINS LE REVARD;0;31;44
LYON PERRACHE;LE CREUSOT MONTCEAU MONTCHANIN;0;33;47
DAX;LIBOURNE;0;35;49
LE TEIL;SETE;0;37;52
LYON PERRACHE;MONTBELIARD;0;37;52
RENNES;LANDERNEAU;0;40;57
FACTURE BIGANOS;LOURDES;15;40;57
DIJON VILLE;NANCY VILLE;15;40;64
VILLENEUVE LES AVIGNONS;LES ARCS DRAGUIGNAN;15;43;62
ST NAZAIRE;ST PIERRE DES CORPS;0;43;63
PAU;LIBOURNE;0;44;65
DAX;ANGOULEME;0;46;67
ORTHEZ;FUTUROSCOPE;0;66;95
BIARRITZ;ST PIERRE DES CORPS;25;76;110
LES ARCS DRAGUIGNAN;VENTIMIGLIA STAZIONE;0;24;36
VENDOME;POITIERS;0;30;45
GENEVE;ST PERAY;0;49;75
CASTELNAUDARY;VALENCE TGV;0;54;93
LYON ST EXUPERY;HYERES;20;63;92
MARSEILLE ST CHARLES;ANNECY;25;91;120
AEROPORT CDG 2 TGV ROISSY;MONTPELLIER;25;114;160
AIX EN PROVENCE TGV;PARIS GARE DE LYON;25;116;162
MARNE LA VALLEE CHESSY;MARSEILLE ST CHARLES;25;116;162
AVIGNON;AEROPORT CDG 2 TGV ROISSY;25;116;162
AVIGNON SUD;PARIS GARE DE LYON;25;116;162
MARNE LA VALLEE CHESSY;ECOLE VALENTIN;0;83;111
MULHOUSE VILLE;NIMES;20;119;152
METZ VILLE;VALENCE TGV;25;109;142
Nancy ville;narbonne;25;123;155
CULMONT CHALINDREY;BEZIERS;25;94;125
paris austerlitz;Angers;20;73;104
paris austerlitz;Facture;25;102;134
MASSY TGV;RUFFEC CHARENTE;20;87;121
ANGOULEME;MARNE LA VALLEE CHESSY;20;87;121
VANNES;DOUAI;25;114;150
ANGOULEME;LORRAINE TGV;25;119;156
BORDEAUX ST JEAN;LILLE EUROPE;25;130;171
LILLE FLANDRES;LIBOURNE;25;130;171
PARIS MONTPARNASSE 1 ET 2;VITRE;15;72;104
MASSY TGV;ST MAIXENT DEUX SEVRES;20;84;118
CHATELLERAULT;ST PIERRE DES CORPS;0;15;22
ANGOULEME;CHATELLERAULT;0;28.5;42
LAVAL;QUIMPERLE;0;45;66
LE MANS;VANNES;0;47;68
MARNE LA VALLEE CHESSY;AURAY;20;91;127
MASSY TGV;ROSPORDEN;20;95;134
LAVAL;TGV HAUTE PICARDIE;25;88;112
BORDEAUX ST JEAN;CHAMPAGNE ARDENNE;25;119;168
BORDEAUX ST JEAN;MEUSE TGV;25;134;176
LE MANS;NIMES;25;125;168
LES SABLES D'OLONNE;PARIS MONTPARNASSE 1 ET 2;25;88;128
PARIS MONTPARNASSE 1 ET 2;RENNES;20;93;131
PARIS MONTPARNASSE 1 ET 2;REDON;20;94;136
