Origine;Destination ;Prix d'appel 2nde;Plein Tarif 2nde;Plein Tarif 1ère
NICE VILLE;TOULOUSE MATABIAU;20.0;82.0;126.0
PERPIGNAN;VIERZON VILLE;25.0;89.0;139.0
CHATEAUROUX;VIERZON VILLE;;14.6;22.5
ISSOUDUN;VIERZON VILLE;;10.3;16.5
NARBONNE;VIERZON VILLE;25.0;83.0;128.0
CANNES;TOULON;;24.0;37.5
ELNE;PARIS GARE DE LYON;25.0;108.0;166.0
LES AUBRAIS ORLEANS;PARIS GARE DE LYON;;23.5;37.0
CARCASSONNE;CAUSSADE TARN ET GARONNE;10.0;28.5;44.0
CHATEAUROUX;CAUSSADE TARN ET GARONNE;15.0;54.0;85.0
CARCASSONNE;LES AUBRAIS ORLEANS;25.0;85.0;132.0
BRIVE LA GAILLARDE;CAHORS;;20.5;31.5
BEZIERS;CASTELNAUDARY;;23.0;36.0
PARIS BERCY;PORT VENDRES VILLE;25.0;109.0;168.0
PARIS BERCY;PERPIGNAN;25.0;107.0;165.0
BANYULS SUR MER;NARBONNE;;19.5;30.5
NEVERS;MOULINS SUR ALLIER;;14.1;21.5
NIMES;MONTPELLIER;;12.4;19.5
MARSEILLE ST CHARLES;MONTAUBAN VILLE BOURBON;20.0;66.0;102.0
COLLIOURE;MONTAUBAN VILLE BOURBON;15.0;45.0;69.0
PERPIGNAN;MONTAUBAN VILLE BOURBON;10.0;42.0;64.0
PARIS BERCY;SOUILLAC;15.0;72.0;109.0
ANTIBES;ST RAPHAEL VALESCURE;;11.3;18.0
UZERCHE;ARGELES;25.0;67.0;104.0
TOULON;ANTIBES;;25.5;39.5
ELNE;TOULOUSE MATABIAU;10.0;37.0;57.0
LA SOUTERRAINE;PARIS AUSTERLITZ;15.0;51.0;79.0
GOURDON;PARIS AUSTERLITZ;15.0;73.0;112.0
ELNE;MONTAUBAN VILLE BOURBON;10.0;43.0;67.0
SOUILLAC;MONTAUBAN VILLE BOURBON;;24.0;37.5
BRIVE LA GAILLARDE;CASTELNAUDARY;15.0;42.0;65.0
ARGELES SUR MER;GOURDON;15.0;55.0;87.0
SOUILLAC;COLLIOURE;20.0;60.0;91.0
MONTPELLIER;NICE VILLE;20.0;58.0;89.0
PARIS BERCY;NARBONNE;20.0;102.0;157.0
CARCASSONNE;NIMES;10.0;34.5;52.0
CARCASSONNE;NARBONNE;;14.1;21.5
BEZIERS;NARBONNE;;8.1;12.9
UZERCHE;LES AUBRAIS ORLEANS;15.0;51.0;80.0
GOURDON;LES AUBRAIS ORLEANS;20.0;62.0;96.0
ANTIBES;LES ARCS DRAGUIGNAN;;15.5;24.0
CHATEAUROUX;ISSOUDUN;;8.1;13.5
PORT VENDRES VILLE;VIERZON VILLE;25.0;91.0;143.0
LES ARCS DRAGUIGNAN;TOULOUSE MATABIAU;25.0;74.0;113.0
CASTELNAUDARY;VIERZON VILLE;25.0;75.0;114.0
UZERCHE;CARCASSONNE;15.0;51.0;80.0
UZERCHE;BANYULS SUR MER;25.0;68.0;105.0
SOUILLAC;NARBONNE;15.0;49.0;77.0
AGEN;NARBONNE;15.0;42.0;66.0
LES AUBRAIS ORLEANS;COLLIOURE;25.0;100.0;153.0
BRIVE LA GAILLARDE;ISSOUDUN;15.0;42.0;64.0
CARCASSONNE;ELNE;;25.0;39.0
UZERCHE;CAUSSADE TARN ET GARONNE;10.0;31.0;47.0
PARIS BERCY;CERBERE;25.0;110.0;171.0
LIMOGES BENEDICTINS;VIERZON VILLE;15.0;34.5;52.0
MONTAUBAN VILLE BOURBON;TOULOUSE MATABIAU;;12.9;19.5
MARSEILLE ST CHARLES;MARMANDE;25.0;78.0;120.0
MONTPELLIER;MONTAUBAN VILLE BOURBON;15.0;45.0;70.0
ARGENTON SUR CREUSE;SOUILLAC;10.0;39.0;61.0
CARCASSONNE;SOUILLAC;15.0;42.0;65.0
LIMOGES BENEDICTINS;SOUILLAC;;25.5;40.0
ARGELES SUR MER;TOULOUSE MATABIAU;10.0;38.0;58.0
ISSOUDUN;TOULOUSE MATABIAU;20.0;66.0;102.0
RIOM CHATEL GUYON;ST GERMAIN DES FOSSES;;12.4;19.0
UZERCHE;PARIS GARE DE LYON;15.0;64.0;100.0
GOURDON;PARIS BERCY;15.0;73.0;112.0
LES AUBRAIS ORLEANS;PARIS AUSTERLITZ;;23.5;37.0
LA SOUTERRAINE;CAHORS;15.0;41.0;64.0
CAUSSADE TARN ET GARONNE;CAHORS;;10.8;17.0
ARGELES SUR MER;CARCASSONNE;;26.0;41.0
AVIGNON;AGEN;20.0;64.0;100.0
BORDEAUX ST JEAN;ARLES;25.0;77.0;119.0
CHATEAUROUX;CAHORS;15.0;50.0;79.0
ELNE;CAHORS;15.0;50.0;79.0
MARMANDE;NARBONNE;15.0;49.0;77.0
CAUSSADE TARN ET GARONNE;VIERZON VILLE;20.0;62.0;95.0
AVIGNON;TOULOUSE MATABIAU;15.0;50.0;79.0
LA SOUTERRAINE;VIERZON VILLE;;25.5;41.0
NARBONNE;PORT VENDRES VILLE;;19.0;29.0
ISSOUDUN;CAUSSADE TARN ET GARONNE;20.0;58.0;89.0
PARIS AUSTERLITZ;CAHORS;15.0;77.0;118.0
ARLES;TOULOUSE MATABIAU;15.0;50.0;79.0
NARBONNE;TOULOUSE MATABIAU;;27.0;42.0
LIMOGES BENEDICTINS;CERBERE;25.0;75.0;114.0
MARMANDE;SETE;20.0;57.0;88.0
MONTPELLIER;ANTIBES;15.0;55.0;86.0
BRIVE LA GAILLARDE;ST SEBASTIEN;10.0;30.5;46.0
CHATEAUROUX;SOUILLAC;15.0;42.0;66.0
BRIVE LA GAILLARDE;ELNE;20.0;62.0;95.0
RIOM CHATEL GUYON;MOULINS SUR ALLIER;;19.5;30.0
TOULOUSE MATABIAU;CAHORS;;22.0;34.0
CARCASSONNE;CASTELNAUDARY;;10.3;16.5
BANYULS SUR MER;CERBERE;;2.8;4.8
UZERCHE;PORT VENDRES VILLE;25.0;68.0;106.0
MONTPELLIER;SETE;;8.1;12.9
CHATEAUROUX;PARIS GARE DE LYON;15.0;42.0;64.0
BORDEAUX ST JEAN;NIMES;20.0;73.0;112.0
ST SEBASTIEN;PARIS BERCY;15.0;48.0;76.0
SETE;TOULOUSE MATABIAU;15.0;36.5;55.0
PARIS MONTPARNASSE;AMIENS;10.0;31.0;47.0
AVIGNON;BORDEAUX ST JEAN;25.0;77.0;119.0
CARCASSONNE;ARLES;10.0;39.5;62.0
LIMOGES BENEDICTINS;BRIVE LA GAILLARDE;;20.5;31.5
BEZIERS;ARLES;;28.5;44.0
GOURDON;PARIS GARE DE LYON;15.0;73.0;112.0
BRIVE LA GAILLARDE;CHATEAUROUX;15.0;38.5;58.0
CASTELNAUDARY;ELNE;10.0;30.0;45.0
CAUSSADE TARN ET GARONNE;LA SOUTERRAINE;15.0;46.0;70.0
CANNES;MARSEILLE ST CHARLES;10.0;33.0;50.0
CANNES;LES ARCS DRAGUIGNAN;;14.1;21.5
CARCASSONNE;BANYULS SUR MER;10.0;27.5;43.0
CAUSSADE TARN ET GARONNE;NARBONNE;10.0;37.0;55.0
CASTELNAUDARY;NARBONNE;;19.0;30.0
NIMES;NARBONNE;;26.5;42.0
ARGELES SUR MER;MONTAUBAN VILLE BOURBON;10.0;44.0;68.0
UZERCHE;MONTAUBAN VILLE BOURBON;10.0;34.0;52.0
CARCASSONNE;MONTAUBAN VILLE BOURBON;;25.5;41.0
MARSEILLE ST CHARLES;SETE;10.0;34.5;52.0
AGEN;SETE;15.0;50.0;79.0
PARIS GARE DE LYON;VIERZON VILLE;15.0;33.5;51.0
LIMOGES BENEDICTINS;ARGENTON SUR CREUSE;;21.5;33.0
LES AUBRAIS ORLEANS;SOUILLAC;20.0;60.0;91.0
LIMOGES BENEDICTINS;ST SULPICE LAURIERE;;9.7;15.0
CLERMONT FERRAND;ST GERMAIN DES FOSSES;;15.5;24.0
CARCASSONNE;PORT VENDRES VILLE;;27.0;42.0
CAUSSADE TARN ET GARONNE;PARIS BERCY;15.0;80.0;123.0
ISSOUDUN;PARIS AUSTERLITZ;15.0;38.5;58.0
ARGENTON SUR CREUSE;MONTAUBAN VILLE BOURBON;15.0;53.0;84.0
PARIS BERCY;MONTAUBAN VILLE BOURBON;15.0;82.0;126.0
BORDEAUX ST JEAN;MONTPELLIER;20.0;69.0;105.0
CANNES;MONTPELLIER;15.0;54.0;84.0
