trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008931F2602686963,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F2602686963,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008927F05005111201,17:48:00,17:48:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008927F05005111201,19:10:00,19:13:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008927F05005111201,19:50:00,19:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008927F05005111201,20:29:00,20:32:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008927F05005111201,20:43:00,20:45:00,StopPoint:OCETGV-87481747,4,"",0,0,
OCESN008927F05005111201,20:49:00,20:53:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008927F05005111201,20:57:00,20:59:00,StopPoint:OCETGV-87481762,6,"",0,0,
OCESN008927F05005111201,21:06:00,21:06:00,StopPoint:OCETGV-87481788,7,"",0,0,
OCESN008931F1901986979,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F1901986979,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F1901986979,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F1901986979,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F1901986979,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F1901986979,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F1901986979,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008913F1501586501,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F1501586501,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F1501586501,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F1501586501,11:54:00,11:58:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008913F1501586501,12:33:00,12:36:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008913F1501586501,12:49:00,12:53:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008913F1501586501,13:03:00,13:03:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008931F2402486974,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F2402486974,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F2402486974,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F2402486974,20:49:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F2402486974,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F2402486974,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F2402486974,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008893F09009~TGF114749,16:38:00,16:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008893F09009~TGF114749,17:34:00,17:34:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008895F17017~TGF114179,17:38:00,17:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008895F17017~TGF114179,18:34:00,18:34:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008897F11011~TGF114264,18:38:00,18:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008897F11011~TGF114264,19:34:00,19:34:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008897F1401437285,18:38:00,18:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008897F1401437285,18:46:00,18:47:00,StopPoint:OCETGV-87393702,1,"",0,0,
OCESN008897F1401437285,19:34:00,19:34:00,StopPoint:OCETGV-87396002,2,"",0,0,
OCESN008897F1101137282,18:38:00,18:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008897F1101137282,19:34:00,19:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008893F0900987139,16:38:00,16:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008893F0900987139,17:34:00,17:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008895F1701721003,17:38:00,17:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008895F1701721003,18:34:00,18:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008985F2302311518,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008985F2302311518,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008985F2302311518,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008985F2302311518,20:49:00,21:04:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008985F2302311518,21:43:00,21:46:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008985F2302311518,22:12:00,22:12:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008973F14014~TGF114661,09:38:00,09:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008973F14014~TGF114661,10:34:00,10:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008973F14014~TGF114661,11:14:00,11:17:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008973F14014~TGF114661,11:54:00,12:05:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008973F14014~TGF114661,12:44:00,12:47:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008973F14014~TGF114661,13:13:00,13:13:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008985F25025~TGF114136,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008985F25025~TGF114136,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008985F25025~TGF114136,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008985F25025~TGF114136,20:50:00,21:04:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008985F25025~TGF114136,21:43:00,21:46:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008985F25025~TGF114136,22:12:00,22:12:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008985F2702711520,18:42:00,18:42:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F2702711520,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F2702711520,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F2702711520,20:50:00,21:04:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F2702711520,21:43:00,21:46:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F2702711520,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008985F23023~TGA114134,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F23023~TGA114134,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F23023~TGA114134,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F23023~TGA114134,20:49:00,21:04:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F23023~TGA114134,21:43:00,21:46:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F23023~TGA114134,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008985F2502511525,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F2502511525,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F2502511525,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F2502511525,20:50:00,21:04:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F2502511525,21:43:00,21:46:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F2502511525,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
